mode,fold,role,nct_id,year
temporal,0,train,NCT00108953,2005
temporal,0,train,NCT00111839,2005
temporal,0,train,NCT00176605,2005
temporal,0,train,NCT00611351,2005
temporal,0,train,NCT02006667,2001
temporal,0,train,NCT00301964,2006
temporal,0,train,NCT00399529,2006
temporal,0,train,NCT00335829,2006
temporal,0,train,NCT00494481,2006
temporal,0,train,NCT00126672,2005
temporal,0,train,NCT00216203,2005
temporal,0,train,NCT00361231,2006
temporal,0,train,NCT00287872,2004
temporal,0,train,NCT01135498,2006
temporal,0,train,NCT00089999,2004
temporal,0,train,NCT00071006,2003
temporal,0,train,NCT00103207,2005
temporal,0,train,NCT00305877,2006
temporal,0,train,NCT01996332,2004
temporal,0,train,NCT00166439,2005
temporal,0,train,NCT00390611,2006
temporal,0,train,NCT00409565,2006
temporal,0,train,NCT00004092,1999
temporal,0,train,NCT00586495,2005
temporal,0,train,NCT00039195,2006
temporal,0,train,NCT00515411,2006
temporal,0,train,NCT00271609,2005
temporal,0,train,NCT00371254,2006
temporal,0,train,NCT00085566,2004
temporal,0,train,NCT00119262,2005
temporal,0,train,NCT00672594,2006
temporal,0,train,NCT00182689,2005
temporal,0,train,NCT00313560,2006
temporal,0,train,NCT00360360,2006
temporal,0,train,NCT00161213,2005
temporal,0,train,NCT00137423,2005
temporal,0,train,NCT00345540,2006
temporal,0,train,NCT00387959,2006
temporal,0,train,NCT00267696,2005
temporal,0,train,NCT00774046,2002
temporal,0,train,NCT00185588,2004
temporal,0,train,NCT00859469,2004
temporal,0,train,NCT00271505,2005
temporal,0,train,NCT00004888,2001
temporal,0,train,NCT00216021,2004
temporal,0,train,NCT00269152,2005
temporal,0,train,NCT02280252,2005
temporal,0,train,NCT00562978,2000
temporal,0,train,NCT00444678,2004
temporal,0,train,NCT00368355,2000
temporal,0,train,NCT00118144,2005
temporal,0,train,NCT00238121,2005
temporal,0,train,NCT00579826,2006
temporal,0,train,NCT00499343,2004
temporal,0,train,NCT00438880,2004
temporal,0,train,NCT00039130,2002
temporal,0,train,NCT00117351,2005
temporal,0,train,NCT00309842,2005
temporal,0,train,NCT00057837,2004
temporal,0,train,NCT00427557,2006
temporal,0,train,NCT00323869,2006
temporal,0,train,NCT00890656,2003
temporal,0,train,NCT00066677,2003
temporal,0,train,NCT00398086,2006
