nct_id,title,status,canonical_drug,primary_target,modality,disease,has_biomarker,start_year,label_strict,label_balanced,label_permissive,label_provenance,drug_is_mapped,drug_is_mapped.1,ot_overall_score,ot_genetic_association,ot_somatic_mutation,ot_known_drug,ot_animal_model,ot_rna_expression,ot_literature,pubmed_pair_count,clinical_trial_pub_count,pair_pub_acceleration,lineage_specificity,gwas_disease_specificity,alteration_frequency,co_alteration_burden,genomic_complexity,ot_data_missing,cbio_data_missing,biomarker_missing,network_degree,clustering_coefficient,betweenness_centrality,tractability,binding_evidence,potency_proxy,mechanistic_maturity,druggability_tier,target_class,pathway_count,pathway_evidence,alternative_pathway_burden,gwas_association_count,cosmic_census_member,somatic_evidence,depmap_chronos,depmap_essential,depmap_selective,tumor_expression,normal_tissue_burden,tumor_specificity,expression_variability,omnipath_degree,omnipath_references,known_drug_count,interaction_score,disgenet_score,disgenet_disease_count,modality_score,drug_is_mapped.2,drug_is_mapped.3,tmb_relevance,pdl1_expression,immune_infiltration,io_mechanism,is_io_target,tds_small_molecule,tds_biologic,tds_combined,drug_class,polypharmacology_proxy,human_study_fraction,translational_study_fraction,perturbation_concordance,target_disease_assoc,pub_acceleration,literature_diversity,context_specificity,biomarker_directness,biomarker_prevalence,biomarker_clonality,assay_precision,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,_primary_target,_disease,pubmed_total_raw,pubmed_clinical_trial_raw,pubmed_recent_raw,pubmed_status,pubmed_data_missing,log_pubmed_total_raw,log_pubmed_clinical_trial_raw,log_pubmed_recent_raw,clinical_publication_fraction
NCT00108953,A Randomized Controlled Study of BAY43-9006 in Combination With Doxorubicin Versus Doxorubicin in Patients With Advanced Hepatocellular Carcinoma.,COMPLETED,sorafenib,BRAF,small_molecule,hepatocellular carcinoma,True,2005.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.151,0.04,0.662251655629139,0.0,0.75,,,,1,1,0,689.0,0.0007610406386066,1.0,1.0,1.0,0.5917499999999999,0.05,1.0,0.7,21.0,1.0,0.42,0.7,1.0,1.0,-0.63,1.0,1.0,0.4,0.6,0.0,0.5,0.82,0.656,0.9,1.0,0.85,0.85,0.7,1,1.0,0.4,0.4,0.55,0.0,0.0,0.8779375,0.0,0.8779375,0.0,0.0,0.026490066225165563,0.018543046357615892,0.72,0.3,0.662251655629139,0.0955,0.1,0.5,0.3,0.7,0.8,0.705,69.5163,0.295,0.3776,0.28,0.1873,14.2453,braf,hepatocellular carcinoma,151.0,4.0,40.0,complete,0,5.0238805208462765,1.6094379124341003,3.713572066704308,0.026490066225165563
NCT02434081,A Phase II Trial Evaluating the Safety and Efficacy of the Addition of Concurrent Anti-PD 1 Nivolumab to Standard First-line Chemotherapy and Radiotherapy in Locally Advanced Stage IIIA/B Non-Small Cell Lung Carcinoma,COMPLETED,nivolumab,PDCD1,antibody,nsclc,True,2015.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.92,0.68,0.72,0.95,0.4,0.75,0.88,0.032,0.0,1.0,0.0,0.5,,,,0,1,0,837.0,0.0007509342891278,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.6380000000000001,0.92,1.0,0.016,0.34,0.5,0.3,0.7,0.8,0.5625,84.3253,0.295,0.3419,0.366,0.2088,17.1793,pdcd1,nsclc,32.0,0.0,17.0,complete,0,3.4965075614664802,0.0,2.8903717578961645,0.0
NCT03570619,IMPACT: Immunotherapy in Patients With Metastatic Cancers and CDK12 Mutations,COMPLETED,nivolumab,PDCD1,antibody,solid tumors,True,2018.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.02,0.0,1.0,0.0,0.5,,,,1,1,0,837.0,0.0007509342891278,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.39,0.3,1.0,0.01,0.1,0.5,0.3,0.7,0.8,0.42,84.1658,0.295,0.2035,0.28,0.2055,17.0709,pdcd1,solid tumors,20.0,0.0,11.0,complete,0,3.044522437723423,0.0,2.4849066497880004,0.0
NCT01286077,"A Phase 2, Multicentre, Randomised, Open-Label, Parallel Group Study to Evaluate the Effect of VELCADE on Myeloma Related Bone Disease",COMPLETED,bortezomib,PSMB5,small_molecule,multiple myeloma,True,2009.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.85,0.6,0.65,0.92,0.4,0.65,0.8,0.033,0.02,0.7575757575757576,0.0,0.45,,,,0,1,0,1170.0,0.0009419982905982,1.0,1.0,1.0,0.6293333333333334,0.05,0.38,0.7,173.0,1.0,1.0,0.4,0.5,0.5,-0.83,1.0,1.0,0.4,0.6,0.0,0.5,0.65,0.52,0.8,0.9,0.62,0.62,0.7,1,1.0,0.25,0.3,0.45,0.0,0.0,0.8673333333333334,0.0,0.8673333333333334,0.0,0.0,0.06060606060606061,0.04242424242424242,0.94,0.85,0.7575757575757576,0.026500000000000003,0.3,0.5,0.3,0.7,0.8,0.5285,117.7699,0.295,0.4759,0.35,0.1857,23.8819,psmb5,multiple myeloma,33.0,2.0,10.0,complete,0,3.5263605246161616,1.0986122886681098,2.3978952727983707,0.06060606060606061
NCT01051557,Phase I/II Trial of Temsirolimus and Perifosine for Recurrent or Progressive Malignant Gliomas,COMPLETED,temsirolimus,MTOR,small_molecule,glioblastoma,True,2010.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,1.0,0.28,0.7057416267942583,0.0,0.6,,,,1,1,0,557.0,0.0007751023339317,1.0,1.0,1.0,0.7293,0.05,1.0,0.7,56.0,1.0,1.0,0.55,0.5,0.5,-0.61,1.0,1.0,0.4,0.6,0.0,0.5,0.85,0.68,0.9,1.0,0.8,0.8,0.7,1,1.0,0.15,0.25,0.35,0.0,0.0,0.912325,0.0,0.912325,0.0,0.0,0.026794258373205742,0.01875598086124402,0.72,0.3,0.7057416267942583,0.64,0.1,0.5,0.3,0.7,0.8,0.4475,56.3369,0.295,0.541,0.28,0.4476,11.6037,mtor,glioblastoma,1045.0,28.0,295.0,complete,0,6.952728644624869,3.367295829986474,5.69035945432406,0.026794258373205742
NCT03321630,"A Phase II Study of Lenvatinib, a Multi-targeted Tyrosine Kinase Inhibitor, Combined With Pembrolizumab (PD-1 Inhibitor) for the Treatment of Metastatic Gastroesophageal Cancer Patients Who Have Progressed on First or Subsequent Line Therapies",COMPLETED,pembrolizumab,PDCD1,antibody,gastric cancer,True,2017.0,1,1,1,completed+positive_text+results,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.029,0.0,1.0,0.0,0.5,,,,1,1,0,837.0,0.0007509342891278,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.39,0.3,1.0,0.0145,0.1,0.5,0.3,0.7,0.8,0.42,84.1658,0.295,0.2049,0.28,0.208,17.0714,pdcd1,gastric cancer,29.0,0.0,19.0,complete,0,3.4011973816621555,0.0,2.995732273553991,0.0
NCT01935934,A Phase 2 Study of XL184 (Cabozantinib) in Recurrent or Metastatic Endometrial Cancer,COMPLETED,cabozantinib,MET,small_molecule,endometrial cancer,True,2013.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.608,0.35,0.8388157894736842,0.0,0.7,,,,1,1,0,619.0,0.0007922148626817,1.0,1.0,1.0,0.7166000000000001,0.1,0.58,0.7,19.0,0.95,0.38,0.65,1.0,1.0,-0.61,1.0,1.0,0.4,0.6,0.0,0.5,0.78,0.6240000000000001,0.8,0.9,0.78,0.78,0.7,1,1.0,0.25,0.35,0.45,0.0,0.0,0.8891500000000001,0.0,0.8891500000000001,0.0,0.0,0.05756578947368421,0.04029605263157894,0.69,0.3,0.8388157894736842,0.479,0.1,0.5,0.3,0.7,0.8,0.6915,62.5375,0.295,0.4892,0.28,0.3837,12.8881,met,endometrial cancer,608.0,35.0,204.0,complete,0,6.411818267709897,3.58351893845611,5.3230099791384085,0.05756578947368421
NCT02939651,"A Phase 2, Open-label Study of Pembrolizumab Monotherapy in Patients With Metastatic High Grade Neuroendocrine Tumors",COMPLETED,pembrolizumab,PDCD1,antibody,cancer nos,True,2016.0,1,1,1,completed+positive_text+results,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.0,0.0,0.0,0.0,0.5,,,,1,1,0,837.0,0.0007509342891278,1.0,1.0,0.6,0.6553333333333333,0.05,0.36,0.7,9.0,0.45,0.18,0.45,0.5,0.5,-0.15,0.0,0.0,0.4,0.6,0.0,0.5,0.6,0.48,0.9,1.0,0.65,0.65,0.8,1,1.0,0.85,0.8,0.85,1.0,1.0,0.0,0.62,0.62,1.0,0.0,0.0,0.0,0.39,0.3,0.0,0.0,0.1,0.5,0.3,0.7,0.8,0.42,84.1658,0.295,0.2005,0.28,0.0,17.0498,pdcd1,cancer nos,0.0,0.0,0.0,complete,0,0.0,0.0,0.0,0.0
NCT00111839,"Randomized, Phase II, Open-Label Controlled Study of Two Different Doses and Schedules of EMD 72000 (Matuzumab) in Combination With Pemetrexed, or Pemetrexed Alone, as Second-Line Treatment for Stage IIIB/IV Non-Small Cell Lung Cancer and Progressive Disease on or After First-Line Treatment With a Platinum in Combination With Taxanes, Gemcitabine and Vinorelbine",COMPLETED,pemetrexed,TYMS,small_molecule,nsclc,True,2005.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.3,0.2,0.25,0.3,0.4,0.25,0.3,0.051,0.02,0.34313725490196073,0.0,0.6,,,,1,1,0,481.0,0.0008138274428274,0.962,1.0,1.0,0.82585,0.05,0.32,0.7,6.0,0.3,0.12,0.55,0.0,0.0,-0.91,1.0,0.0,0.4,0.6,0.0,0.5,0.7,0.5599999999999999,0.8,0.9,0.78,0.78,0.7,1,1.0,0.15,0.2,0.3,0.0,0.0,0.9164625,0.0,0.9164625,0.0,0.0,0.0392156862745098,0.02745098039215686,0.3,0.3,0.34313725490196073,0.0355,0.1,0.5,0.3,0.7,0.8,0.2215,48.7514,0.295,0.1706,0.28,0.0994,9.9212,tyms,nsclc,51.0,2.0,7.0,complete,0,3.9512437185814275,1.0986122886681098,2.0794415416798357,0.0392156862745098
NCT03674112,"A Randomized, Multicenter, Open-Label Cross-Over Study to Evaluate Patient Preference and Satisfaction of Subcutaneous Administration of the Fixed-Dose Combination of Pertuzumab and Trastuzumab in Patients With HER2-Positive Early Breast Cancer",COMPLETED,trastuzumab,ERBB2,antibody,breast cancer,True,2018.0,0,0,0,completed+results+no_positive_signal,1,1.0,0.95,0.88,0.85,0.98,0.4,0.8,0.92,1.0,1.0,0.38055624534392846,0.0,0.85,,,,0,1,0,739.0,0.0007936373477672,1.0,0.5,0.3,0.7236666666666667,0.2,1.0,0.7,45.0,1.0,0.9,0.8,1.0,1.0,-0.71,1.0,1.0,0.4,0.6,0.0,0.5,0.9,0.7200000000000001,1.0,1.0,0.88,0.88,0.8,1,1.0,0.15,0.35,0.45,0.0,0.0,0.0,0.3075,0.3075,1.0,0.5,0.046684877079711945,0.03267941395579836,0.98,0.95,0.38055624534392846,1.0,0.44,0.5,0.3,0.7,0.8,0.9185,74.5055,0.295,0.824,0.386,0.4443,15.4274,erbb2,breast cancer,4027.0,188.0,613.0,complete,0,8.301025253838453,5.241747015059643,6.419994928147142,0.046684877079711945
