nct_id,start_year,label_strict,split
NCT00108953,2005.0,0,train
NCT02434081,2015.0,0,train
NCT03570619,2018.0,0,test
NCT01286077,2009.0,0,train
NCT01051557,2010.0,0,train
NCT03321630,2017.0,1,test
NCT01935934,2013.0,0,train
NCT02939651,2016.0,1,test
NCT00111839,2005.0,0,train
NCT03674112,2018.0,0,test
NCT02536742,2016.0,0,test
NCT01274351,2011.0,0,train
NCT00176605,2005.0,0,train
NCT00611351,2005.0,0,train
NCT01992653,2013.0,0,train
NCT03322267,2018.0,0,test
NCT00923936,2009.0,1,train
NCT04644237,2021.0,0,test
NCT01794039,2014.0,0,train
NCT02006667,2001.0,0,train
NCT00679367,2008.0,0,train
NCT04700072,2021.0,1,test
NCT00301964,2006.0,0,train
NCT02017964,2013.0,0,train
NCT02654119,2015.0,0,train
NCT04266795,2020.0,0,test
NCT02927301,2017.0,1,test
NCT01093586,2007.0,0,train
NCT00399529,2006.0,1,train
NCT00859937,2009.0,0,train
NCT01087970,2010.0,0,train
NCT00335829,2006.0,0,train
NCT00494481,2006.0,0,train
NCT00577122,2007.0,0,train
NCT00767819,2008.0,0,train
NCT01962103,2013.0,0,train
NCT01763788,2013.0,0,train
NCT02593175,2016.0,0,test
NCT00712881,2008.0,0,train
NCT00859222,2009.0,1,train
NCT03093831,2016.0,0,test
NCT00126672,2005.0,1,train
NCT04452877,2020.0,0,test
NCT01951157,2013.0,0,train
NCT00216203,2005.0,1,train
NCT03101254,2017.0,0,test
NCT03892642,2019.0,0,test
NCT02454842,2015.0,0,train
NCT00361231,2006.0,0,train
NCT00287872,2004.0,0,train
NCT02924883,2016.0,0,test
NCT01350245,2010.0,0,train
NCT02915783,2017.0,1,test
NCT02532257,2016.0,0,test
NCT02511132,2016.0,0,test
NCT00744900,2008.0,0,train
NCT03197467,2018.0,0,test
NCT02195011,2014.0,0,train
NCT00940316,2010.0,0,train
NCT01053949,2009.0,1,train
NCT01135498,2006.0,0,train
NCT01058655,2010.0,0,train
NCT01146795,2010.0,0,train
NCT00460109,2008.0,0,train
NCT00723099,2008.0,0,train
NCT02178436,2014.0,0,train
NCT01660711,2012.0,0,train
NCT03510871,2019.0,1,test
NCT00089999,2004.0,0,train
NCT03990571,2019.0,0,test
NCT00578864,2007.0,0,train
NCT03828799,2019.0,0,test
NCT00071006,2003.0,0,train
NCT00103207,2005.0,0,train
NCT02297139,2015.0,0,train
NCT00305877,2006.0,0,train
NCT03873493,2020.0,0,test
NCT03041311,2017.0,1,test
NCT01996332,2004.0,0,train
NCT01532687,2012.0,0,train
NCT04933695,2022.0,1,test
NCT00166439,2005.0,0,train
NCT00691301,2008.0,0,train
NCT00598507,2007.0,1,train
NCT01126736,2010.0,1,train
NCT00390611,2006.0,0,train
NCT02985957,2017.0,0,test
NCT00409565,2006.0,1,train
NCT00731211,2008.0,0,train
NCT01462695,2012.0,0,train
NCT01750281,2012.0,0,train
NCT00004092,1999.0,0,train
NCT00586495,2005.0,0,train
NCT00039195,2006.0,0,train
NCT03977467,2019.0,0,test
NCT00372775,2007.0,0,train
NCT00515411,2006.0,1,train
NCT00271609,2005.0,1,train
NCT01611259,2012.0,1,train
NCT00371254,2006.0,0,train
NCT03958045,2019.0,0,test
NCT02312245,2015.0,0,train
NCT03534180,2018.0,0,test
NCT03194373,2017.0,0,test
NCT05653427,2022.0,0,test
NCT01418742,2011.0,0,train
NCT02300545,2015.0,1,train
NCT05687617,2022.0,0,test
NCT01057589,2010.0,0,train
NCT00403403,2007.0,0,train
NCT01492088,2012.0,0,train
NCT04118166,2019.0,0,test
NCT02041429,2014.0,1,train
NCT00679783,2008.0,1,train
NCT00667394,2008.0,0,train
NCT00085566,2004.0,0,train
NCT00948922,2009.0,0,train
NCT00968253,2009.0,0,train
NCT00119262,2005.0,0,train
NCT00672594,2006.0,1,train
NCT05085002,2021.0,0,test
NCT02317991,2015.0,0,train
NCT01853618,2013.0,0,train
NCT00182689,2005.0,0,train
NCT00313560,2006.0,0,train
NCT00360360,2006.0,0,train
NCT00161213,2005.0,0,train
NCT00137423,2005.0,0,train
NCT02311361,2015.0,0,train
NCT03211117,2017.0,0,test
NCT01262820,2010.0,0,train
NCT00881296,2008.0,1,train
NCT00345540,2006.0,0,train
NCT02729896,2016.0,1,test
NCT03365882,2017.0,0,test
NCT01664182,2012.0,0,train
NCT00669162,2012.0,0,train
NCT00387959,2006.0,0,train
NCT00267696,2005.0,0,train
NCT00687297,2008.0,0,train
NCT00567359,2007.0,0,train
NCT00774046,2002.0,0,train
NCT02102490,2014.0,0,train
NCT03369223,2017.0,0,test
NCT02130466,2014.0,1,train
NCT03296137,2017.0,0,test
NCT01004003,2009.0,0,train
NCT02597322,2012.0,1,train
NCT01088529,2009.0,0,train
NCT03694002,2019.0,0,test
NCT00185588,2004.0,0,train
NCT01211483,2010.0,0,train
NCT01014351,2010.0,0,train
NCT03760666,2018.0,0,test
NCT00720356,2009.0,0,train
NCT00439231,2007.0,0,train
NCT03069937,2017.0,0,test
NCT01216683,2011.0,0,train
NCT03459222,2018.0,0,test
NCT01927627,2013.0,0,train
NCT00787761,2007.0,0,train
NCT00859469,2004.0,0,train
NCT00271505,2005.0,0,train
NCT02453594,2015.0,1,train
NCT00520403,2007.0,0,train
NCT00004888,2001.0,0,train
NCT02661542,2016.0,1,test
NCT00216021,2004.0,1,train
NCT02801578,2016.0,1,test
NCT00602771,2008.0,0,train
NCT01256398,2010.0,0,train
NCT00269152,2005.0,0,train
NCT02768792,2016.0,0,test
NCT03043664,2017.0,0,test
NCT02247349,2014.0,0,train
NCT00436644,2007.0,0,train
NCT02280252,2005.0,0,train
NCT02795858,2016.0,0,test
NCT01801111,2013.0,0,train
NCT00550771,2007.0,0,train
NCT04761198,2021.0,0,test
NCT02420314,2015.0,0,train
NCT00409006,2007.0,0,train
NCT04518852,2020.0,1,test
NCT02305758,2014.0,0,train
NCT00867321,2009.0,0,train
NCT03801304,2019.0,1,test
NCT01174238,2010.0,0,train
NCT00562978,2000.0,0,train
NCT00444678,2004.0,0,train
NCT01136733,2010.0,0,train
NCT02659020,2016.0,0,test
NCT02064582,2014.0,1,train
NCT02061085,2013.0,1,train
NCT02716974,2016.0,0,test
NCT00463060,2007.0,1,train
NCT00942825,2009.0,0,train
NCT03989115,2019.0,0,test
NCT02631590,2016.0,0,test
NCT00368355,2000.0,0,train
NCT00921115,2009.0,0,train
NCT00742625,2008.0,0,train
NCT03284424,2017.0,0,test
NCT00847015,2009.0,0,train
NCT00459108,2007.0,0,train
NCT01875250,2013.0,0,train
NCT01505413,2011.0,1,train
NCT02368691,2015.0,0,train
NCT01305213,2011.0,0,train
NCT02055820,2013.0,1,train
NCT02315326,2014.0,1,train
NCT00118144,2005.0,0,train
NCT00238121,2005.0,0,train
NCT00790855,2008.0,0,train
NCT00579826,2006.0,0,train
NCT00885755,2009.0,0,train
NCT01451515,2012.0,0,train
NCT02302833,2015.0,0,train
NCT00924326,2009.0,0,train
NCT04308785,2021.0,0,test
NCT00824746,2009.0,0,train
NCT00499343,2004.0,0,train
NCT04313504,2020.0,0,test
NCT00796549,2008.0,1,train
NCT04146038,2020.0,0,test
NCT01646125,2012.0,0,train
NCT03128359,2017.0,0,test
NCT01264705,2011.0,0,train
NCT00438880,2004.0,0,train
NCT01095094,2009.0,0,train
NCT01348919,2011.0,0,train
NCT01133665,2010.0,0,train
NCT06022692,2020.0,0,test
NCT02624492,2016.0,0,test
NCT01310036,2011.0,0,train
NCT04382664,2020.0,0,test
NCT00813293,2009.0,1,train
NCT00661193,2008.0,0,train
NCT00039130,2002.0,0,train
NCT00537381,2007.0,0,train
NCT00775593,2008.0,0,train
NCT01124734,2010.0,1,train
NCT02551432,2015.0,0,train
NCT02784171,2016.0,0,test
NCT00117351,2005.0,0,train
NCT00459875,2007.0,0,train
NCT00309842,2005.0,0,train
NCT01246986,2011.0,0,train
NCT00057837,2004.0,0,train
NCT04166383,2020.0,0,test
NCT00427557,2006.0,0,train
NCT03056001,2017.0,0,test
NCT04944173,2023.0,0,test
NCT00323869,2006.0,0,train
NCT03090737,2017.0,0,test
NCT02684253,2016.0,1,test
NCT00432172,2007.0,0,train
NCT00890656,2003.0,0,train
NCT02611037,2016.0,0,test
NCT03241745,2017.0,0,test
NCT00066677,2003.0,0,train
NCT02520154,2016.0,0,test
NCT00633594,2008.0,0,train
NCT00398086,2006.0,0,train
NCT01332266,2011.0,0,train
NCT00129376,2003.0,1,train
NCT00826241,2009.0,0,train
NCT03822351,2018.0,0,test
NCT03108495,2017.0,0,test
NCT00517595,2007.0,0,train
NCT02793544,2016.0,0,test
NCT00219557,2005.0,0,train
NCT00875667,2009.0,0,train
NCT01340430,2011.0,1,train
NCT02429375,2015.0,1,train
NCT00473512,2005.0,0,train
NCT00369681,2006.0,0,train
NCT02815995,2016.0,1,test
NCT00778830,2009.0,0,train
NCT00372619,2007.0,0,train
NCT00411671,2006.0,0,train
NCT00887575,2009.0,0,train
NCT00900757,2009.0,1,train
NCT00124657,2005.0,0,train
NCT00711828,2008.0,0,train
NCT00113230,2005.0,1,train
NCT01091428,2010.0,0,train
NCT00545792,2007.0,0,train
NCT02008539,2013.0,0,train
NCT03093428,2017.0,0,test
NCT01203267,2007.0,1,train
NCT00493467,2006.0,0,train
NCT01397825,2011.0,0,train
NCT04009876,2019.0,1,test
NCT02389517,2015.0,0,train
NCT01131078,2005.0,0,train
NCT00468585,2005.0,1,train
NCT02399085,2016.0,0,test
NCT00737243,2008.0,0,train
NCT00201240,2005.0,1,train
NCT01232452,2011.0,1,train
NCT00862784,2009.0,0,train
NCT00457743,2005.0,0,train
NCT00815308,2009.0,0,train
NCT00244985,2005.0,0,train
NCT01111825,2010.0,0,train
NCT04347226,2020.0,0,test
NCT01781026,2013.0,0,train
NCT03565835,2018.0,0,test
NCT00288015,2005.0,0,train
NCT01698879,2009.0,1,train
NCT00959647,2009.0,0,train
NCT01313078,2010.0,1,train
NCT01004250,2009.0,0,train
NCT00986674,2009.0,0,train
NCT00038610,2001.0,0,train
NCT01698918,2013.0,0,train
NCT01763710,2012.0,1,train
NCT01045460,2010.0,0,train
NCT00881751,2009.0,0,train
NCT03416153,2018.0,0,test
NCT03449901,2018.0,1,test
NCT02648477,2016.0,0,test
NCT00800839,2008.0,0,train
NCT03730012,2019.0,0,test
NCT00517829,2007.0,0,train
NCT00537095,2007.0,1,train
NCT01534637,2006.0,0,train
NCT02899195,2017.0,0,test
NCT00532129,2007.0,0,train
NCT02091531,2014.0,1,train
NCT03164772,2017.0,0,test
NCT00553202,2008.0,0,train
NCT04828486,2021.0,0,test
NCT01298570,2011.0,0,train
NCT02273973,2014.0,0,train
NCT00329641,2011.0,0,train
NCT00515073,2001.0,0,train
NCT02354586,2015.0,0,train
NCT01633541,2012.0,0,train
NCT00709761,2008.0,0,train
NCT00378703,2007.0,0,train
NCT00821327,2008.0,1,train
NCT00179673,2005.0,1,train
NCT03184870,2017.0,0,test
NCT00516841,2007.0,0,train
NCT02772588,2016.0,0,test
NCT03698227,2018.0,0,test
NCT04220866,2020.0,1,test
NCT00112827,2004.0,1,train
NCT00081861,2004.0,0,train
NCT00318370,2006.0,1,train
NCT03677141,2019.0,0,test
NCT02447003,2015.0,0,train
NCT01108341,2010.0,1,train
NCT00284154,2006.0,1,train
NCT01256359,2010.0,0,train
NCT03617679,2019.0,0,test
NCT02722668,2017.0,0,test
NCT00861913,2009.0,0,train
NCT00462423,2007.0,0,train
NCT00068380,2004.0,0,train
NCT01421017,2011.0,0,train
NCT00705250,2008.0,1,train
NCT04154189,2020.0,0,test
NCT00905060,2009.0,0,train
NCT02530489,2016.0,0,test
NCT01950390,2014.0,0,train
NCT00112489,2005.0,0,train
NCT01498289,2012.0,0,train
NCT04282018,2020.0,0,test
NCT02213289,2015.0,0,train
NCT03733990,2018.0,0,test
NCT00439517,2007.0,0,train
NCT00096018,2002.0,0,train
NCT00599313,2007.0,0,train
NCT00617409,2007.0,0,train
NCT01868893,2013.0,0,train
NCT01020006,2009.0,0,train
NCT00867087,2009.0,0,train
NCT02654132,2016.0,0,test
NCT00332163,2006.0,0,train
NCT02466009,2015.0,0,train
NCT00179309,2005.0,1,train
NCT02164916,2014.0,0,train
NCT01165021,2010.0,0,train
NCT00114140,2005.0,0,train
NCT01460940,2011.0,0,train
NCT01530997,2012.0,0,train
NCT03531840,2018.0,1,test
NCT03255018,2018.0,0,test
NCT01554397,2011.0,0,train
NCT00551460,2007.0,0,train
NCT02878785,2016.0,1,test
NCT03006848,2017.0,0,test
NCT01470248,2011.0,1,train
NCT00992225,2009.0,1,train
NCT00550615,2007.0,0,train
NCT04967417,2022.0,0,test
NCT03003520,2017.0,0,test
NCT00994123,2010.0,0,train
NCT00047879,2002.0,1,train
NCT03248570,2018.0,0,test
NCT02826486,2016.0,0,test
NCT03727880,2019.0,0,test
NCT02303262,2015.0,0,train
NCT00344773,2006.0,0,train
NCT00814788,2008.0,0,train
NCT00580333,2007.0,0,train
NCT00866047,2009.0,0,train
NCT00357149,2003.0,1,train
NCT03274258,2017.0,0,test
NCT00796978,2009.0,0,train
NCT01114555,2010.0,1,train
NCT00412243,2006.0,0,train
NCT00436566,2007.0,0,train
NCT00324870,2006.0,0,train
NCT00727441,2008.0,0,train
NCT01373294,2011.0,0,train
NCT01458366,2011.0,0,train
NCT00096941,2005.0,1,train
NCT01016769,2009.0,0,train
NCT00483405,2006.0,0,train
NCT00911859,2009.0,0,train
NCT01621880,2012.0,0,train
NCT00465179,2007.0,0,train
NCT00512096,1999.0,0,train
NCT00125359,2005.0,1,train
NCT00558896,2007.0,0,train
NCT02038946,2014.0,1,train
NCT01665768,2012.0,0,train
NCT03418324,2018.0,1,test
NCT00879359,2007.0,0,train
NCT02561273,2015.0,0,train
NCT03994601,2019.0,0,test
NCT00864032,2009.0,1,train
NCT00469898,2003.0,0,train
NCT00381706,2006.0,0,train
NCT01423604,2011.0,0,train
NCT00234052,2005.0,0,train
NCT00383149,2007.0,0,train
NCT02756364,2016.0,0,test
NCT00193609,2004.0,0,train
NCT01431209,2011.0,0,train
NCT01427933,2011.0,0,train
NCT01325428,2011.0,0,train
NCT02951767,2014.0,1,train
NCT00529763,2007.0,0,train
NCT02019693,2014.0,1,train
NCT02689284,2016.0,0,test
NCT02077881,2014.0,0,train
NCT03318900,2018.0,0,test
NCT02101034,2014.0,0,train
NCT00828009,2011.0,0,train
NCT04288687,2020.0,0,test
NCT00612716,1999.0,0,train
NCT00470704,2007.0,0,train
NCT01207492,2010.0,0,train
NCT00520936,2007.0,0,train
NCT01927744,2013.0,1,train
NCT01769209,2013.0,0,train
NCT01468532,2011.0,0,train
NCT02342587,2014.0,1,train
NCT00423293,2006.0,0,train
NCT00524121,2006.0,0,train
NCT01388647,2011.0,0,train
NCT05526248,2022.0,0,test
NCT01118026,2010.0,1,train
NCT00413283,2006.0,0,train
NCT01820754,2013.0,0,train
NCT05267054,2022.0,0,test
NCT00023673,2001.0,0,train
NCT02904954,2016.0,0,test
NCT00432094,2006.0,0,train
NCT03927105,2019.0,0,test
NCT03133546,2017.0,0,test
NCT00821886,2009.0,0,train
NCT00072566,2003.0,0,train
NCT04541355,2020.0,0,test
NCT01643668,2012.0,1,train
NCT02598960,2015.0,0,train
NCT00798720,2008.0,0,train
NCT00784303,2008.0,0,train
NCT02267603,2014.0,0,train
NCT03094286,2017.0,0,test
NCT01995669,2014.0,0,train
NCT02206425,2014.0,1,train
NCT00062010,2004.0,0,train
NCT01351623,2011.0,1,train
NCT01449279,2011.0,0,train
NCT02703779,2016.0,0,test
NCT00242762,2003.0,1,train
NCT00003270,1997.0,0,train
NCT00820170,2009.0,1,train
NCT01593254,2012.0,0,train
NCT02640508,2016.0,0,test
NCT02321540,2015.0,0,train
NCT00045110,2002.0,0,train
NCT00741260,2008.0,1,train
NCT00258362,2005.0,0,train
NCT00612586,2008.0,0,train
NCT01495247,2012.0,0,train
NCT02891447,2016.0,0,test
NCT02316340,2015.0,1,train
NCT02499120,2015.0,1,train
NCT00305682,2005.0,0,train
NCT00632359,2008.0,0,train
NCT00473746,2006.0,0,train
NCT02784288,2016.0,0,test
NCT02795988,2017.0,0,test
NCT02259725,2016.0,0,test
NCT02071225,2014.0,0,train
NCT04045613,2019.0,0,test
NCT00700882,2009.0,0,train
NCT03395080,2018.0,0,test
NCT03439280,2018.0,0,test
NCT00126503,2005.0,0,train
NCT00794950,2009.0,1,train
NCT00642018,2008.0,0,train
NCT01248962,2010.0,0,train
NCT03043313,2017.0,0,test
NCT00243191,2006.0,0,train
NCT03894891,2019.0,0,test
NCT02335424,2015.0,1,train
NCT02451423,2016.0,0,test
NCT01990859,2013.0,0,train
NCT00183885,2004.0,1,train
NCT00699491,2008.0,0,train
NCT02849990,2017.0,0,test
NCT01074970,2010.0,0,train
NCT03554473,2018.0,1,test
NCT00652366,2008.0,0,train
NCT01671319,2011.0,0,train
NCT03126019,2018.0,1,test
NCT01091103,2010.0,0,train
NCT06009627,2023.0,1,test
NCT01701986,2012.0,0,train
NCT02919969,2016.0,0,test
NCT00058422,2003.0,0,train
NCT04555837,2020.0,0,test
NCT00281957,2007.0,0,train
NCT02970981,2016.0,0,test
NCT00535873,2007.0,0,train
NCT02523469,2016.0,0,test
NCT00346645,2006.0,0,train
NCT03878472,2019.0,1,test
NCT01246557,2009.0,1,train
NCT01250119,2011.0,0,train
NCT01535924,2012.0,0,train
NCT02279862,2014.0,0,train
NCT00314262,2006.0,0,train
NCT01111461,2010.0,1,train
NCT00710970,2007.0,0,train
NCT00408070,2006.0,0,train
NCT01068769,2010.0,1,train
NCT00952731,2009.0,0,train
NCT02775695,2017.0,1,test
NCT00454805,2007.0,0,train
NCT01279694,2010.0,1,train
NCT00717756,2009.0,0,train
NCT03035331,2017.0,0,test
NCT00822120,2009.0,0,train
NCT01593020,2012.0,0,train
NCT06333769,2024.0,1,test
NCT00063154,2003.0,0,train
NCT02514551,2015.0,0,train
NCT01076231,2010.0,0,train
NCT00245102,2005.0,0,train
NCT02661282,2016.0,0,test
NCT03839823,2019.0,0,test
NCT02488759,2015.0,0,train
NCT02978222,2017.0,0,test
NCT00467142,2007.0,0,train
NCT00103194,2005.0,0,train
NCT03045653,2017.0,1,test
NCT00788957,2008.0,0,train
NCT01469546,2012.0,0,train
NCT00940342,2004.0,0,train
NCT01637402,2013.0,0,train
NCT00942877,2009.0,1,train
NCT01125176,2012.0,0,train
NCT01138046,2010.0,1,train
NCT03088878,2018.0,0,test
NCT02176213,2014.0,1,train
NCT03023046,2017.0,0,test
