primary_target,disease,retrieved_utc,pubmed_pair_count,clinical_trial_pub_count,pair_pub_acceleration,has_real_pubmed_data,pubmed_data_missing,pubmed_status,pubmed_total_raw,pubmed_clinical_trial_raw,pubmed_recent_raw,pubmed_as_of,pubmed_recent_start,pubmed_query
ABL1,breast cancer,2026-09-14T05:10:48.813060+00:00,0.036,0.01,0.5555555555555556,True,0,complete,36,1,8,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (breast cancer[Title/Abstract])
ABL1,cancer nos,2026-09-14T05:10:49.815079+00:00,0.0,0.0,0.0,True,0,complete,0,0,0,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (cancer nos[Title/Abstract])
ABL1,gastric cancer,2026-09-14T05:10:51.034065+00:00,0.01,0.0,1.0,True,0,complete,10,0,5,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (gastric cancer[Title/Abstract])
ABL1,hepatocellular carcinoma,2026-09-14T05:10:52.265818+00:00,0.006,0.0,1.0,True,0,complete,6,0,3,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (hepatocellular carcinoma[Title/Abstract])
ABL1,leukemia,2026-09-14T05:10:53.608578+00:00,1.0,1.0,0.8068247541931752,True,0,complete,3458,171,1116,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (leukemia[Title/Abstract])
ABL1,lymphoma,2026-09-14T05:10:54.796206+00:00,0.13,0.02,0.8653846153846154,True,0,complete,130,2,45,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (lymphoma[Title/Abstract])
ABL1,melanoma,2026-09-14T05:10:55.932262+00:00,0.009,0.0,0.2777777777777778,True,0,complete,9,0,1,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (melanoma[Title/Abstract])
ABL1,ovarian cancer,2026-09-14T05:10:57.128897+00:00,0.007,0.0,1.0,True,0,complete,7,0,5,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (ovarian cancer[Title/Abstract])
ABL1,pancreatic cancer,2026-09-14T05:10:58.423074+00:00,0.005,0.0,0.0,True,0,complete,5,0,0,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (pancreatic cancer[Title/Abstract])
ABL1,prostate cancer,2026-09-14T05:10:59.583807+00:00,0.017,0.0,0.4411764705882352,True,0,complete,17,0,3,2026-09-14,2023-01-01,(ABL1[Title/Abstract]) AND (prostate cancer[Title/Abstract])
ALK,cancer nos,2026-09-14T05:11:00.809331+00:00,0.0,0.0,0.0,True,0,complete,0,0,0,2026-09-14,2023-01-01,(ALK[Title/Abstract]) AND (cancer nos[Title/Abstract])
ALK,lymphoma,2026-09-14T05:11:02.007031+00:00,1.0,1.0,0.619755630796408,True,0,complete,6793,236,1684,2026-09-14,2023-01-01,(ALK[Title/Abstract]) AND (lymphoma[Title/Abstract])
ALK,nsclc,2026-09-14T05:11:03.262437+00:00,1.0,1.0,0.8417008196721312,True,0,complete,4880,317,1643,2026-09-14,2023-01-01,(ALK[Title/Abstract]) AND (nsclc[Title/Abstract])
AR,breast cancer,2026-09-14T05:11:04.624992+00:00,1.0,0.65,0.6414473684210527,True,0,complete,1824,65,468,2026-09-14,2023-01-01,(AR[Title/Abstract]) AND (breast cancer[Title/Abstract])
AR,cancer nos,2026-09-14T05:11:05.829116+00:00,0.0,0.0,0.0,True,0,complete,0,0,0,2026-09-14,2023-01-01,(AR[Title/Abstract]) AND (cancer nos[Title/Abstract])
AR,prostate cancer,2026-09-14T05:11:06.959570+00:00,1.0,1.0,0.5233532934131736,True,0,complete,8350,134,1748,2026-09-14,2023-01-01,(AR[Title/Abstract]) AND (prostate cancer[Title/Abstract])
BCL2,leukemia,2026-09-14T05:11:08.187945+00:00,1.0,1.0,0.4936235708003518,True,0,complete,6822,129,1347,2026-09-14,2023-01-01,(BCL2[Title/Abstract]) AND (leukemia[Title/Abstract])
