nct_id,canonical_drug,primary_target,disease,biomarker,modality,label_balanced,predicted_p,CDS,TDS,BFS,MCS,TWS,EMS,BIOLOGY_SCORE,top_strength,top_risk
NCT04621188,lorlatinib,ALK,NSCLC,PD-L1,small_molecule,1,0.8919,0.5988551802543409,0.288548,0.4722735,0.6687700999999999,0.6567052,0.5799020431168221,0.5531393675183915,MCS,TDS
NCT04038489,tamoxifen,ESR1,breast cancer,ER positive,small_molecule,0,0.8407,0.5352256586324604,0.28308800000000006,0.4212,0.6520593499999999,0.682444,0.5239947642969984,0.5240660163710419,TWS,TDS
NCT06186076,unmapped,UNKNOWN,NSCLC,EGFR mutation,unknown,1,0.812,0.29985996,0.6980135999999999,0.395905,0.3774322,0.5830036,0.4103094,0.448543172,TDS,CDS
NCT03765983,trastuzumab,ERBB2,breast cancer,HER2 amplification,antibody,1,0.8106,0.5554612688905944,0.30781400000000003,0.4719505,0.6818681,0.5711704,0.7110970643064863,0.5567706684240918,EMS,TDS
NCT03501979,tucatinib,ERBB2,breast cancer,HER2 amplification,small_molecule,0,0.7974,0.5606788688905944,0.32571800000000006,0.4750335,0.68199245,0.6551020000000001,0.7119520643064863,0.5737050984240919,EMS,TDS
NCT04202003,unmapped,UNKNOWN,AML,PD-L1,unknown,1,0.7821,0.31135073999999996,0.702474,0.4838845,0.37104220000000004,0.6502792,0.3954762,0.47129567299999997,TDS,CDS
NCT05500508,unmapped,UNKNOWN,NSCLC,,unknown,0,0.7813,0.21073626,0.7592048,0.2625,0.32800165,0.7393228000000001,0.3913494,0.430604132,TDS,CDS
NCT04176952,adagrasib,KRAS,pancreatic cancer,Biomarker selected,small_molecule,0,0.7706,0.5944112504513317,0.33981000000000006,0.3748725,0.59694385,0.7523524000000001,0.6120247992339225,0.5501299749753548,TWS,TDS
NCT05212922,unmapped,UNKNOWN,NSCLC,PD-L1,unknown,0,0.7618,0.29911224000000003,0.67713,0.49506599999999995,0.39518679999999995,0.7174264,0.36713280000000004,0.477373088,TWS,CDS
NCT04896320,tucatinib,ERBB2,breast cancer,HER2 amplification,small_molecule,0,0.7612,0.5331376688905943,0.32455400000000006,0.40623149999999997,0.6532096999999999,0.5808172,0.7137700643064863,0.5410753884240918,EMS,TDS
NCT05583110,tucatinib,ERBB2,breast cancer,HER2 amplification,small_molecule,1,0.7441,0.5333644688905943,0.3249080000000001,0.4252785,0.6062078,0.7449363999999999,0.7032436643064863,0.5576694384240918,TWS,TDS
NCT05917470,unmapped,UNKNOWN,prostate cancer,,unknown,0,0.7266,0.20424174,0.7486808,0.2625,0.3717493,0.6744075999999999,0.318915,0.415873718,TDS,CDS
NCT04111107,unmapped,UNKNOWN,lymphoma,Biomarker selected,unknown,0,0.7242,0.2642412,0.7575696,0.4650435,0.39869995,0.7246132,0.39210600000000007,0.483488075,TDS,CDS
NCT03803761,fulvestrant,ESR1,breast cancer,PIK3CA mutation,small_molecule,0,0.7242,0.5447560586324603,0.3251180000000001,0.453358,0.659978,0.6995799999999999,0.5214837642969985,0.5408777763710418,TWS,TDS
NCT04093323,unmapped,UNKNOWN,melanoma,PD-L1,unknown,0,0.7088,0.30505038,0.7409020000000001,0.4409295,0.36718795000000004,0.7052932000000001,0.41279459999999996,0.479435561,TDS,CDS
NCT05676463,unmapped,UNKNOWN,prostate cancer,PSMA,unknown,0,0.7081,0.2599002,0.7414944,0.402539,0.4050847,0.6863308,0.36494699999999997,0.46229366,TDS,CDS
NCT04862143,alpelisib,PIK3CA,breast cancer,PIK3CA mutation,small_molecule,0,0.7052,0.5452793481339808,0.340472,0.495141,0.6260814499999999,0.7326424,0.49015760074841686,0.5430341097390587,TWS,TDS
NCT04510285,trastuzumab,ERBB2,gastric cancer,PD-L1,antibody,0,0.6932,0.4693835322783325,0.33448400000000006,0.442081,0.6604734500000001,0.6330819999999999,0.5491852310616597,0.5197962311149156,MCS,TDS
