metric,value
trials_ingested,4652
phase2_with_drug,4652
labelable,1038
drug_mapped,554
drug_mapped_pct,53.4
with_biomarker,339
unique_drugs,83
unique_targets,37
unique_diseases,29
label_strict_positive,281
label_strict_rate,0.271
label_balanced_positive,332
label_balanced_rate,0.32
label_permissive_positive,332
label_permissive_rate,0.32
missing_alteration_frequency,699
missing_biomarker_directness,699
missing_co_alteration_burden,699
missing_genomic_complexity,699
missing_assay_precision,699
missing_biomarker_prevalence,699
missing_biomarker_clonality,699
real_opentargets_trials,238
real_pubmed_trials,351
best_model_label_strict,LightGBM_composite
best_auc_label_strict,0.57
best_brier_label_strict,0.237
best_model_label_balanced,LightGBM_composite
best_auc_label_balanced,0.533
best_brier_label_balanced,0.262
best_model_label_permissive,LightGBM_composite
best_auc_label_permissive,0.533
best_brier_label_permissive,0.262
