composite,feature,v1_weight,v2_weight
CDS,cosmic_census_member,0.25,0.2863
CDS,somatic_evidence,0.2,0.2863
CDS,ot_genetic_association,0.15,0.2487
CDS,gwas_association_count,0.1,0.0676
CDS,ot_somatic_mutation,0.15,0.037
CDS,gwas_disease_specificity,0.1,0.037
CDS,disgenet_score,0.05,0.037
TDS,potency_proxy,0.15,0.4917
TDS,mechanistic_maturity,0.05,0.147
TDS,binding_evidence,0.15,0.0994
TDS,network_degree,0.1,0.0866
TDS,depmap_essential,0.1,0.0605
TDS,ot_overall_score,0.1,0.0433
TDS,tractability,0.2,0.0357
TDS,ot_known_drug,0.15,0.0357
BFS,biomarker_directness,0.2,0.2
BFS,biomarker_prevalence,0.15,0.2
BFS,biomarker_clonality,0.1,0.2
BFS,assay_precision,0.1,0.2
BFS,lineage_specificity,0.15,0.2
MCS,clinical_trial_pub_count,0.15,0.4281
MCS,mechanistic_maturity,0.2,0.3417
MCS,ot_literature,0.15,0.1072
MCS,pubmed_pair_count,0.15,0.046
MCS,perturbation_concordance,0.2,0.0385
MCS,pathway_evidence,0.15,0.0385
TWS,tumor_expression,0.3,0.6784
TWS,context_specificity,0.15,0.2016
TWS,tumor_specificity,0.25,0.04
TWS,normal_tissue_burden,0.2,0.04
TWS,ot_rna_expression,0.1,0.04
EMS,literature_diversity,0.15,0.6586
EMS,human_study_fraction,0.25,0.1307
EMS,translational_study_fraction,0.2,0.1307
EMS,pubmed_pair_count,0.2,0.04
EMS,pair_pub_acceleration,0.2,0.04
