protocol,features,model,roc_auc,auc_lo,auc_hi,n,n_pos,perm_p,pr_auc,brier,prevalence,n_features
baseline,prevalence,baseline,0.5,,,638,123,,,,,
baseline,data_availability,baseline,0.5078301365537927,0.48422149795527514,0.5243452197418362,638,123,0.3790523690773067,,,,
baseline,missingness_only,baseline,0.5126608256373826,0.4707797833673319,0.5549278426306545,638,123,0.3117206982543641,,,,
temporal,raw,LogReg,0.5328947368421053,0.4171465058816837,0.6350771278286295,198,38,0.26184538653366585,0.21722210232792014,0.36850983724678976,0.1919191919191919,69.0
temporal,raw,RandomForest,0.5164473684210525,0.4066555542471176,0.6206188350217298,198,38,0.3491271820448878,0.20612919325941398,0.2544087118069666,0.1919191919191919,69.0
temporal,raw,GradBoost,0.4979440789473684,0.387308556091148,0.6096930055637013,198,38,0.46633416458852867,0.2056802558443022,0.2827662176091157,0.1919191919191919,69.0
unseen,raw,LogReg,0.558258642765685,0.4004401792641925,0.7007920979986197,93,22,,0.2925090667085981,0.4235471849186677,0.23655913978494625,69.0
unseen,raw,RandomForest,0.5355313700384123,0.38823630910658946,0.6762824978193448,93,22,,0.3014905369999155,0.2540737470520991,0.23655913978494625,69.0
unseen,raw,GradBoost,0.5339308578745199,0.3844444872058019,0.671583904109589,93,22,,0.267688505433014,0.3331478964955291,0.23655913978494625,69.0
grouped_cv,raw,LogReg,0.5683005762096456,0.5058071067922133,0.6306935680196235,638,123,0.007481296758104738,0.3177280640825215,0.22801086175733404,0.19278996865203762,69.0
grouped_cv,raw,RandomForest,0.5620885626331992,0.49528900071141746,0.6285948897377432,638,123,0.014962593516209476,0.3216309528474369,0.21369161380489907,0.19278996865203762,69.0
grouped_cv,raw,GradBoost,0.5762964717025811,0.5144320078437906,0.642037408768414,638,123,0.007481296758104738,0.32224497529722596,0.15285742270863917,0.19278996865203762,69.0
stratified_cv,raw,LogReg,0.606567211303181,0.5485055001247524,0.6746613711308782,638,123,,0.32471399570318715,0.22436431779649443,0.19278996865203762,69.0
stratified_cv,raw,RandomForest,0.619898965979951,0.5646614398593975,0.6768946374036409,638,123,,0.3235966714836871,0.2125246871821888,0.19278996865203762,69.0
stratified_cv,raw,GradBoost,0.6066540374141605,0.5456053536227385,0.6675264417464152,638,123,,0.30061506350164524,0.15455816752811538,0.19278996865203762,69.0
temporal,composite,LogReg,0.5226973684210525,0.4343517777057799,0.6169840965456401,198,38,0.32169576059850374,0.20828751651532124,0.23443115932264202,0.1919191919191919,7.0
temporal,composite,RandomForest,0.4800986842105263,0.3847155135767044,0.5693562355906799,198,38,0.683291770573566,0.19871261928964518,0.24472791147939554,0.1919191919191919,7.0
temporal,composite,GradBoost,0.47401315789473686,0.3701309696956752,0.5843615807044827,198,38,0.6384039900249376,0.18573955941179135,0.255663371824198,0.1919191919191919,7.0
unseen,composite,LogReg,0.5339308578745199,0.4062567384113437,0.672904367263635,93,22,,0.2932439997349727,0.22328172174827968,0.23655913978494625,7.0
unseen,composite,RandomForest,0.515044814340589,0.36251105705440073,0.6693441597653553,93,22,,0.3069139649090409,0.23759699536543907,0.23655913978494625,7.0
unseen,composite,GradBoost,0.4539052496798976,0.307657967032967,0.6064395761860932,93,22,,0.2209888332802008,0.3029969039940597,0.23655913978494625,7.0
grouped_cv,composite,LogReg,0.5104822795800774,0.4471240789123451,0.5696513698685728,638,123,0.36159600997506236,0.2847684558989221,0.24279577985661568,0.19278996865203762,7.0
grouped_cv,composite,RandomForest,0.5341542347462309,0.46254000012291274,0.6090135122505881,638,123,0.09476309226932668,0.30244520020947196,0.21530123569129858,0.19278996865203762,7.0
grouped_cv,composite,GradBoost,0.520017365222196,0.4644844484830165,0.5796906502626498,638,123,0.22443890274314215,0.24795518917842502,0.1633800043826612,0.19278996865203762,7.0
stratified_cv,composite,LogReg,0.549388270581735,0.48299695729761427,0.617162389513861,638,123,,0.3020965213872951,0.23970480909778516,0.19278996865203762,7.0
stratified_cv,composite,RandomForest,0.5959428526324099,0.5336719737168442,0.660706326633253,638,123,,0.309897066155494,0.21572416311443457,0.19278996865203762,7.0
stratified_cv,composite,GradBoost,0.5459467992738181,0.48629492393073465,0.6055086987241636,638,123,,0.27553731744646026,0.16035204782471207,0.19278996865203762,7.0
temporal,raw_no_literature,LogReg,0.524671052631579,0.43069904132119685,0.6252106927864504,198,38,0.3092269326683292,0.21337774121124306,0.3714242649834767,0.1919191919191919,60.0
temporal,raw_no_literature,RandomForest,0.5057565789473684,0.4067876179571209,0.6120764612834454,198,38,0.4912718204488778,0.20446509468471125,0.25335543031210944,0.1919191919191919,60.0
temporal,raw_no_literature,GradBoost,0.4540296052631579,0.3351492673627717,0.5548637560021894,198,38,0.8154613466334164,0.18924757434090805,0.2577969648735412,0.1919191919191919,60.0
unseen,raw_no_literature,LogReg,0.5553777208706786,0.40542739414606416,0.69496608229702,93,22,,0.29229477593279923,0.41803095005910207,0.23655913978494625,60.0
unseen,raw_no_literature,RandomForest,0.5326504481434059,0.3900778405440137,0.6762514730639729,93,22,,0.30181312978627917,0.2456775219400738,0.23655913978494625,60.0
unseen,raw_no_literature,GradBoost,0.48687580025608196,0.33553259838786154,0.6266858766233766,93,22,,0.2581318756916654,0.28516398324492054,0.23655913978494625,60.0
grouped_cv,raw_no_literature,LogReg,0.5684268687347067,0.5000203037691644,0.6283635798415046,638,123,0.012468827930174564,0.31585671890915235,0.22759037432903384,0.19278996865203762,60.0
grouped_cv,raw_no_literature,RandomForest,0.5547241297655695,0.48911741666175346,0.6270528039988817,638,123,0.02493765586034913,0.3166557638856107,0.21728532069965298,0.19278996865203762,60.0
grouped_cv,raw_no_literature,GradBoost,0.5811666272002527,0.5155447056670447,0.6448119249360724,638,123,0.0024937655860349127,0.3035204767393888,0.1544372885070453,0.19278996865203762,60.0
stratified_cv,raw_no_literature,LogReg,0.6050122345883653,0.5419150100680501,0.6627844211985997,638,123,,0.32999458352566513,0.22293383725498553,0.19278996865203762,60.0
stratified_cv,raw_no_literature,RandomForest,0.5988396874260005,0.5341490492789883,0.6594298708425749,638,123,,0.31979200035936783,0.21527975085610906,0.19278996865203762,60.0
stratified_cv,raw_no_literature,GradBoost,0.5838029836609046,0.5194703683099394,0.6366928555042871,638,123,,0.2958340969647023,0.15548227079131205,0.19278996865203762,60.0
temporal,literature_only,LogReg,0.47434210526315795,0.3681459086799277,0.5867457161668138,198,38,0.6932668329177057,0.20286954169476723,0.24089330311615328,0.1919191919191919,9.0
temporal,literature_only,RandomForest,0.4896381578947368,0.37509523613064816,0.5982567846586114,198,38,0.5536159600997507,0.20205646639792094,0.27501586954772883,0.1919191919191919,9.0
temporal,literature_only,GradBoost,0.4918585526315789,0.3937243919807187,0.5855135414918023,198,38,0.5835411471321695,0.19823574938412744,0.22128521408294258,0.1919191919191919,9.0
unseen,literature_only,LogReg,0.5761843790012805,0.4376176382634394,0.7203995562755993,93,22,,0.33410751782030873,0.22383320243547758,0.23655913978494625,9.0
unseen,literature_only,RandomForest,0.5256081946222791,0.39026755799652235,0.6649990605689471,93,22,,0.2878639081003109,0.2753561827871097,0.23655913978494625,9.0
unseen,literature_only,GradBoost,0.5496158770806658,0.4106069023569024,0.6825678107008141,93,22,,0.3049715966754708,0.22773879356843918,0.23655913978494625,9.0
grouped_cv,literature_only,LogReg,0.5353224406030468,0.46436470773721583,0.5987458509573461,638,123,0.14713216957605985,0.2980401786676402,0.24194549586845404,0.19278996865203762,9.0
grouped_cv,literature_only,RandomForest,0.5223616702186439,0.45761730301964604,0.5818042995392709,638,123,0.2593516209476309,0.30614292156912354,0.2175452088282758,0.19278996865203762,9.0
grouped_cv,literature_only,GradBoost,0.5230641723892967,0.457868762461198,0.5817736921023714,638,123,0.19201995012468828,0.28545700135906193,0.1578974443407724,0.19278996865203762,9.0
stratified_cv,literature_only,LogReg,0.5608572105138527,0.4991520598932296,0.614690187431338,638,123,,0.29335431389140976,0.24239478859520117,0.19278996865203762,9.0
stratified_cv,literature_only,RandomForest,0.589967637540453,0.5333691748974247,0.6571577702999322,638,123,,0.32969129125763635,0.2158329267091627,0.19278996865203762,9.0
stratified_cv,literature_only,GradBoost,0.5765253769042544,0.5097738107061404,0.6328830434061211,638,123,,0.2926670321393621,0.15580734484749192,0.19278996865203762,9.0
temporal,genomic_only,LogReg,0.5011513157894737,0.3896927983884506,0.6038608414774638,198,38,0.49875311720698257,0.2058195995784804,0.2653642136230051,0.1919191919191919,12.0
temporal,genomic_only,RandomForest,0.518421052631579,0.4291580859190034,0.6172974875650377,198,38,0.3192019950124688,0.20779670425675434,0.25243492599187906,0.1919191919191919,12.0
temporal,genomic_only,GradBoost,0.5376644736842107,0.43326592970675654,0.6364081530583507,198,38,0.24438902743142144,0.21279732566665968,0.19447302177311945,0.1919191919191919,12.0
unseen,genomic_only,LogReg,0.5412932138284252,0.40208642347269863,0.6849696853808696,93,22,,0.2948648922462319,0.2619929657096658,0.23655913978494625,12.0
unseen,genomic_only,RandomForest,0.5355313700384123,0.39134338924963924,0.6850847567287784,93,22,,0.28436611426530145,0.25046467671979555,0.23655913978494625,12.0
unseen,genomic_only,GradBoost,0.6056338028169014,0.4685129068462402,0.7385740606311173,93,22,,0.3068922271682283,0.20626223296030133,0.23655913978494625,12.0
grouped_cv,genomic_only,LogReg,0.609985002762649,0.5435475042413492,0.6728461756812549,638,123,0.0024937655860349127,0.3549155363654159,0.22983440988538137,0.19278996865203762,12.0
