nct_id,primary_target,disease,start_year,label,ml_probability,blended_score
NCT04644237,ERBB2,nsclc,2021.0,0,0.1609525875259358,0.1348355491632155
NCT04700072,PDCD1,melanoma,2021.0,1,0.14108073254859557,0.11019533192274888
NCT04266795,BCL2,leukemia,2020.0,0,0.2835435131487763,0.11810120298107692
NCT04452877,BRAF,cancer nos,2020.0,0,0.14108073254859557,0.18277239588799132
NCT03873493,BTK,leukemia,2020.0,0,0.32485206828993574,0.3042034696944699
NCT04933695,KRAS,nsclc,2022.0,1,0.1819910495247416,0.13049540325388184
NCT05653427,UNKNOWN,hepatocellular carcinoma,2022.0,0,0.7316666666666667,0.6188937782642826
NCT05687617,UNKNOWN,gastric cancer,2022.0,0,0.7316666666666667,0.46231576913364864
NCT05085002,CYP19A1,breast cancer,2021.0,0,0.08559361048812526,0.10651330346403608
NCT04761198,PDCD1,solid tumors,2021.0,0,0.15392023872143507,0.22244476162036406
NCT04518852,BRAF,hepatocellular carcinoma,2020.0,1,0.14108073254859557,0.14549726064917629
NCT04308785,CD274,cancer nos,2021.0,0,0.27021017981544293,0.2515976634692414
NCT04313504,PARP1,hnscc,2020.0,0,0.1834525875259358,0.22564083573162272
NCT04146038,BCL2,leukemia,2020.0,0,0.2835435131487763,0.11810120298107692
NCT06022692,UNKNOWN,cancer nos,2020.0,0,0.7316666666666667,0.5870500563896469
NCT04382664,PDCD1,melanoma,2020.0,0,0.14108073254859557,0.11019533192274888
NCT04166383,PDCD1,colorectal cancer,2020.0,0,0.15392023872143507,0.13054030690922935
NCT04944173,CD274,nsclc,2023.0,0,0.34659697560709235,0.33487716508263554
NCT04347226,UNKNOWN,solid tumors,2020.0,0,0.7316666666666667,0.6188937782642826
NCT04828486,PDCD1,hepatocellular carcinoma,2021.0,0,0.15392023872143507,0.362705253489236
NCT04220866,PDCD1,hnscc,2020.0,1,0.15392023872143507,0.22244476162036406
NCT04154189,VEGFR2,cancer nos,2020.0,0,0.27021017981544293,0.294812007689777
NCT04282018,BTK,solid tumors,2020.0,0,0.15392023872143507,0.16717545204690287
NCT04967417,PDCD1,nsclc,2022.0,0,0.13896689835429638,0.0966959838491227
NCT04288687,PARP1,prostate cancer,2020.0,0,0.1834525875259358,0.22564083573162272
NCT05526248,AR,prostate cancer,2022.0,0,0.25338100480208825,0.24965105744944846
NCT05267054,MS4A1,lymphoma,2022.0,0,0.10159361048812525,0.09870126799309294
NCT04541355,DNA,hnscc,2020.0,0,0.1198041368039147,0.4069213743247404
NCT06009627,TUBB,breast cancer,2023.0,1,0.1198041368039147,0.2518806623506696
NCT04555837,PDCD1,hnscc,2020.0,0,0.15392023872143507,0.22244476162036406
NCT06333769,TYMS,colorectal cancer,2024.0,1,0.16575667746391176,0.13262404397453
NCT04056910,PDCD1,solid tumors,2021.0,0,0.15392023872143507,0.22244476162036406
NCT04534218,VEGFR2,colorectal cancer,2020.0,1,0.27021017981544293,0.22579925986004076
NCT04495894,UNKNOWN,nsclc,2020.0,0,0.7316666666666667,0.2537822250337742
NCT04332653,PDCD1,nsclc,2020.0,1,0.13896689835429638,0.0966959838491227
NCT05109442,CD274,solid tumors,2021.0,0,0.27021017981544293,0.17535425792169643
