primary_target,disease,family,n,k,raw_rate,posterior_mean,ci_lo,ci_hi,prior_alpha,prior_beta,own_data_weight
MS4A1,lymphoma,bcell_lymphoma_target,24,2,0.08333333333333333,0.09238656141449118,0.025903443650352933,0.18814613068407773,0.9233284936601529,6.719027806891773,0.7584770164408198
ERBB2,breast cancer,growth_factor_kinase,21,6,0.2857142857142857,0.26815777291046533,0.1355374956844602,0.4225803780440823,0.6025372726252013,3.019300837693942,0.8529013920857024
DNA,cancer nos,cytotoxic_chemo,19,1,0.05263157894736842,0.06077570613327285,0.005484260863711722,0.16281455758666954,0.25931056800784047,1.4613136440143757,0.9169607925699507
PDCD1,cancer nos,immune_checkpoint,18,1,0.05555555555555555,0.07849193362288286,0.012115362973741692,0.1879707913473775,0.7256650443404796,3.259588276484756,0.8187306162603886
EGFR,cancer nos,growth_factor_kinase,16,1,0.0625,0.0816711086706207,0.011341533388979745,0.19989493537221079,0.6025372726252013,3.019300837693942,0.8154180005993211
EGFR,colorectal cancer,growth_factor_kinase,12,0,0.0,0.03857019054801176,0.00038939290883731103,0.13586743438457727,0.6025372726252013,3.019300837693942,0.7681554446575205
CRBN,multiple myeloma,proteostasis_immunomodulatory,11,4,0.36363636363636365,0.321810804039364,0.15266066820311858,0.5156310773514623,1.4324021069242476,4.4483304189475525,0.6516304895620582
EGFR,nsclc,growth_factor_kinase,10,2,0.2,0.19105624744238187,0.05127880620449807,0.38356561697352076,0.6025372726252013,3.019300837693942,0.7341153168179674
TUBB,breast cancer,cytotoxic_chemo,10,4,0.4,0.3634030484177567,0.15542816851027016,0.5989390032115477,0.25931056800784047,1.4613136440143757,0.8531968792022768
VEGFA,cancer nos,angiogenesis,9,4,0.4444444444444444,0.3778379847207561,0.17122078534949173,0.6077952492864697,0.6705817555284743,2.6907528492500834,0.7280767237318245
CD274,cancer nos,immune_checkpoint,9,2,0.2222222222222222,0.20990464929699645,0.059482761585267635,0.4124490684149884,0.7256650443404796,3.259588276484756,0.6930939102717508
UNKNOWN,cancer nos,unmapped,9,5,0.5555555555555556,0.5087474220332543,0.2800826501384653,0.73570146465911,1.1575386604781213,1.9457927645126345,0.7435969225313412
VEGFR2,cancer nos,angiogenesis,9,3,0.3333333333333333,0.2969405709727756,0.11157491961750263,0.5209750853995143,0.6705817555284743,2.6907528492500834,0.7280767237318245
DNA,leukemia,cytotoxic_chemo,8,0,0.0,0.026676328839780876,7.17589770877229e-07,0.12753559477383414,0.25931056800784047,1.4613136440143757,0.8229924154567984
MS4A1,leukemia,bcell_lymphoma_target,8,0,0.0,0.05902745570547924,0.0026177344423443864,0.17618439452621554,0.9233284936601529,6.719027806891773,0.5114318997910646
PSMB5,multiple myeloma,proteostasis_immunomodulatory,8,3,0.375,0.31932047524601836,0.13623797440857316,0.5329773452860537,1.4324021069242476,4.4483304189475525,0.576338459450111
VEGFR2,renal cell carcinoma,angiogenesis,8,2,0.25,0.23505880677127777,0.06652435846668855,0.45831712773401023,0.6705817555284743,2.6907528492500834,0.7041426274546314
EGFR,hnscc,growth_factor_kinase,8,3,0.375,0.30997999098150175,0.11595011426039126,0.5425963404702889,0.6025372726252013,3.019300837693942,0.6883592701998423
BRAF,hepatocellular carcinoma,ras_mapk_pathway,7,2,0.2857142857142857,0.24831472955084416,0.07375393973964138,0.4754540969967727,0.7941963985407925,3.4584441660966005,0.6220762104495043
DNA,lymphoma,cytotoxic_chemo,7,0,0.0,0.02973532188789376,8.061808971727207e-07,0.14209209435340528,0.25931056800784047,1.4613136440143757,0.8026948335131595
ABL1,leukemia,growth_factor_kinase,7,0,0.0,0.0567262715141398,0.0005874975944323187,0.19772032670508988,0.6025372726252013,3.019300837693942,0.6590196468160706
DNA,multiple myeloma,cytotoxic_chemo,7,0,0.0,0.02973532188789376,8.061808971727207e-07,0.14209209435340528,0.25931056800784047,1.4613136440143757,0.8026948335131595
AR,prostate cancer,hormonal,7,2,0.2857142857142857,0.2173692387146954,0.0688283812950481,0.4121834862899108,1.0952191909505538,6.144234419194971,0.491591896125322
VEGFR2,colorectal cancer,angiogenesis,7,2,0.2857142857142857,0.25774495828914024,0.07409026961723042,0.49653027029030083,0.6705817555284743,2.6907528492500834,0.6755886444176469
VEGFA,colorectal cancer,angiogenesis,6,1,0.16666666666666666,0.17845551153312206,0.02852731108582935,0.40829810587677606,0.6705817555284743,2.6907528492500834,0.6409342527866976
UNKNOWN,ovarian cancer,unmapped,6,4,0.6666666666666666,0.566555079640348,0.300972436379471,0.814652121807475,1.1575386604781213,1.9457927645126345,0.6590993692186806
ESR1,breast cancer,hormonal,6,1,0.16666666666666666,0.15825571452170553,0.03319362316513208,0.3429538666051761,1.0952191909505538,6.144234419194971,0.4531909077729719
RRM1,cancer nos,cytotoxic_chemo,6,1,0.16666666666666666,0.16310994207526608,0.016221770247261316,0.41074142072739184,0.25931056800784047,1.4613136440143757,0.7771392357961243
VEGFA,ovarian cancer,angiogenesis,6,0,0.0,0.07163313606867244,0.0011627589187010812,0.23790422484491572,0.6705817555284743,2.6907528492500834,0.6409342527866976
CRBN,leukemia,proteostasis_immunomodulatory,6,1,0.16666666666666666,0.20473502804876587,0.0520010879352598,0.41549504618330707,1.4324021069242476,4.4483304189475525,0.5050193653408357
RRM1,pancreatic cancer,cytotoxic_chemo,6,0,0.0,0.03358673610924535,9.197081570439396e-07,0.16038345086996983,0.25931056800784047,1.4613136440143757,0.7771392357961243
CD274,nsclc,immune_checkpoint,6,2,0.3333333333333333,0.2729690431244078,0.08072125961875438,0.5189664657361157,0.7256650443404796,3.259588276484756,0.6008861074647355
PDCD1,nsclc,immune_checkpoint,6,1,0.16666666666666666,0.17282135854695185,0.0287609861295416,0.3929691702590471,0.7256650443404796,3.259588276484756,0.6008861074647355
UNKNOWN,leukemia,unmapped,5,3,0.6,0.5130653607053797,0.23809818918293418,0.7841545902702536,1.1575386604781213,1.9457927645126345,0.6170301741059177
EGFR,pancreatic cancer,growth_factor_kinase,5,1,0.2,0.18586956193334075,0.02817283553663432,0.42855284593439347,0.6025372726252013,3.019300837693942,0.5799227422300698
DNA,nsclc,cytotoxic_chemo,5,0,0.0,0.038584298098972965,1.0704117412065213e-06,0.18404825672954597,0.25931056800784047,1.4613136440143757,0.7439785118554507
PDCD1,lymphoma,immune_checkpoint,5,2,0.4,0.30334871450125633,0.09164821071867268,0.5670980018509136,0.7256650443404796,3.259588276484756,0.5564673383677938
DNA,breast cancer,cytotoxic_chemo,5,1,0.2,0.18738000047006315,0.019099654217240088,0.4641128045625041,0.25931056800784047,1.4613136440143757,0.7439785118554507
CYP17A1,prostate cancer,hormonal,5,0,0.0,0.08948268655086898,0.0062135362575614795,0.24721323518066676,1.0952191909505538,6.144234419194971,0.4085149680093073
PDCD1,hnscc,immune_checkpoint,5,2,0.4,0.30334871450125633,0.09164821071867268,0.5670980018509136,0.7256650443404796,3.259588276484756,0.5564673383677938
