label,model,features,roc_auc,pr_auc,f1,brier,balanced_accuracy
label_strict,LogReg,composite,0.472471,0.227638,0.306748,0.280285,0.485957
label_strict,LogReg_Cal,composite,0.470327,0.208769,0.064516,0.217711,0.481277
label_strict,RandomForest,composite,0.488576,0.235823,0.261261,0.241713,0.501948
label_strict,GradBoost,composite,0.527594,0.270666,0.25,0.195082,0.546514
label_strict,LightGBM,composite,0.522815,0.25626,0.30303,0.285862,0.496285
label_strict,LogReg,raw,0.491097,0.225125,0.312883,0.291183,0.492815
label_strict,LogReg_Cal,raw,0.501408,0.223573,0.17284,0.212902,0.491391
label_strict,RandomForest,raw,0.496137,0.230963,0.258621,0.242849,0.493421
label_strict,GradBoost,raw,0.499411,0.228797,0.169014,0.201388,0.508445
label_strict,LightGBM,raw,0.485106,0.216409,0.283784,0.283954,0.47725
label_strict,LogReg,hybrid,0.472471,0.227638,0.306748,0.280285,0.485957
label_strict,LogReg_Cal,hybrid,0.470327,0.208769,0.064516,0.217711,0.481277
label_strict,RandomForest,hybrid,0.488576,0.235823,0.261261,0.241713,0.501948
label_strict,GradBoost,hybrid,0.527594,0.270666,0.25,0.195082,0.546514
label_strict,LightGBM,hybrid,0.522815,0.25626,0.30303,0.285862,0.496285
label_balanced,LogReg,composite,0.510205,0.367218,0.435484,0.271091,0.51745
label_balanced,LogReg_Cal,composite,0.505957,0.351983,0.295082,0.24403,0.507156
label_balanced,RandomForest,composite,0.530027,0.385573,0.389262,0.247788,0.527616
label_balanced,GradBoost,composite,0.566253,0.409317,0.246154,0.226137,0.53115
label_balanced,LightGBM,composite,0.542273,0.371805,0.450928,0.282966,0.529836
label_balanced,LogReg,raw,0.521659,0.37615,0.435967,0.280186,0.521098
label_balanced,LogReg_Cal,raw,0.528382,0.365793,0.276498,0.237985,0.523649
label_balanced,RandomForest,raw,0.519644,0.371782,0.402516,0.25157,0.523713
label_balanced,GradBoost,raw,0.5137,0.35305,0.23301,0.238191,0.511365
label_balanced,LightGBM,raw,0.528088,0.339534,0.440771,0.287488,0.528292
label_balanced,LogReg,hybrid,0.510205,0.367218,0.435484,0.271091,0.51745
label_balanced,LogReg_Cal,hybrid,0.505957,0.351983,0.295082,0.24403,0.507156
label_balanced,RandomForest,hybrid,0.530027,0.385573,0.389262,0.247788,0.527616
label_balanced,GradBoost,hybrid,0.566253,0.409317,0.246154,0.226137,0.53115
label_balanced,LightGBM,hybrid,0.542273,0.371805,0.450928,0.282966,0.529836
label_permissive,LogReg,composite,0.510205,0.367218,0.435484,0.271091,0.51745
label_permissive,LogReg_Cal,composite,0.505957,0.351983,0.295082,0.24403,0.507156
label_permissive,RandomForest,composite,0.530027,0.385573,0.389262,0.247788,0.527616
label_permissive,GradBoost,composite,0.566253,0.409317,0.246154,0.226137,0.53115
label_permissive,LightGBM,composite,0.542273,0.371805,0.450928,0.282966,0.529836
label_permissive,LogReg,raw,0.521659,0.37615,0.435967,0.280186,0.521098
label_permissive,LogReg_Cal,raw,0.528382,0.365793,0.276498,0.237985,0.523649
label_permissive,RandomForest,raw,0.519644,0.371782,0.402516,0.25157,0.523713
label_permissive,GradBoost,raw,0.5137,0.35305,0.23301,0.238191,0.511365
label_permissive,LightGBM,raw,0.528088,0.339534,0.440771,0.287488,0.528292
label_permissive,LogReg,hybrid,0.510205,0.367218,0.435484,0.271091,0.51745
label_permissive,LogReg_Cal,hybrid,0.505957,0.351983,0.295082,0.24403,0.507156
label_permissive,RandomForest,hybrid,0.530027,0.385573,0.389262,0.247788,0.527616
label_permissive,GradBoost,hybrid,0.566253,0.409317,0.246154,0.226137,0.53115
label_permissive,LightGBM,hybrid,0.542273,0.371805,0.450928,0.282966,0.529836
