feature,importance
potency_proxy,97
MCS,67
expression_variability,63
BIOLOGY_SCORE,56
alteration_frequency,53
assay_precision,52
normal_tissue_burden,50
tumor_expression,49
context_specificity,49
binding_evidence,41
genomic_complexity,39
EMS,38
clustering_coefficient,38
mechanistic_maturity,36
tumor_specificity,30
target_disease_assoc,28
therapeutic_window,23
TWS,22
modality_target_fit,22
dependency_mean,19
dependency_variance,19
TDS,19
somatic_evidence,18
perturbation_concordance,14
CDS,11
biomarker_prevalence,9
network_confidence,9
dependency_selectivity,9
pub_acceleration,6
biomarker_clonality,5
literature_diversity,5
BFS,5
pathway_evidence,5
human_study_fraction,3
functional_annotation_depth,2
genetics_evidence,2
pub_velocity_1y,1
mechanistic_study_fraction,1
co_alteration_burden,1
bottleneck_score,1
domain_criticality,0
cosmic_census_member,0
alternative_pathway_burden,0
biomarker_directness,0
pathway_redundancy,0
biomarker_missing,0
disgenet_cancer_count,0
drugbank_interaction_count,0
tractability,0
polypharmacology_proxy,0
known_drug_evidence,0
has_known_ligands,0
gwas_association_count,0
degree_centrality,0
translational_study_fraction,0
pub_concentration,0
omnipath_interaction_count,0
reactome_pathway_count,0
