intervention_names,disease,modality,label,target_is_unknown,appears_in_test_set,frequency_count
['177Lu-DOTATOC'],glioma,unknown,0,True,True,1
['18F-fluorofuranylnorprogesterone PET / MRI'],endometrial cancer,unknown,0,True,True,1
['2-Hydroxyflutamide Depot'],prostate cancer,unknown,1,True,True,1
['64Cu-PSMA I&T'],prostate cancer,unknown,1,True,True,1
['68Ga-(HBED-CC)-PSMA'],prostate cancer,unknown,0,True,True,1
"['AAA602', 'AAA802', 'Gallium (68Ga) gozetotide', 'Piflufolastat (18F)', 'Flotufolastat F 18', '18F-PSMA-1007']",prostate cancer,unknown,0,True,True,1
['ABI-009'],cancer NOS,unknown,0,True,True,1
['AK104'],lymphoma,unknown,0,True,True,1
['AL2846 capsules'],cancer NOS,unknown,1,True,True,1
"['AMXT1501', 'DFMO']",NSCLC,unknown,0,True,True,1
"['ASTX660', 'ASTX660', 'ASTX660']",lymphoma,unknown,0,True,True,1
"['ATG-010 60 mg, orally, twice weekly, each 4 week (28-day) a cycle']",DLBCL,unknown,1,True,True,1
['ATX-101'],sarcoma,unknown,0,True,True,1
['AZD2811'],SCLC,unknown,0,True,True,1
"['Ad26.HPV16', 'Ad26.HPV18', 'MVA.HPV16/18', 'Placebo']",cancer NOS,unknown,0,True,True,1
"['Alpha-type-1 Polarized Dendritic Cells', 'Celecoxib', 'PD-1 Ligand Inhibitor', 'PD1 Inhibitor', 'Recombinant Interferon Alfa-2b', 'Rintatolimod']",melanoma,unknown,0,True,True,1
['Amivantamab'],hepatocellular carcinoma,unknown,0,True,True,1
['Anlotinib Hydrochloride Capsule Combined with Furmonertinib Mesylate'],lung cancer NOS,unknown,1,True,True,1
['Antiandrogen Therapy'],prostate cancer,unknown,0,True,True,1
"['Apixaban 2.5 MG Oral Tablet [ELIQUIS]', 'Aspirin 81 mg']",cancer NOS,unknown,1,True,True,1
['Ascorbic Acid'],cancer NOS,unknown,0,True,True,1
['Asparaginase'],cancer NOS,unknown,0,True,True,1
['Aumolertinib'],lung cancer NOS,unknown,0,True,True,1
"['Azacitidine', 'Daratumumab', 'Dexamethasone']",multiple myeloma,unknown,0,True,True,1
"['Azacitidine', 'Decitabine', 'Recombinant EphB4-HSA Fusion Protein']",AML,unknown,0,True,True,1
['BAY94-9343 (Anetumab ravtansine)'],solid tumors,unknown,0,True,True,1
['BMS-986253'],solid tumors,unknown,0,True,True,1
['BST-236'],AML,unknown,1,True,True,1
['Bemarituzumab + Flot regimen'],gastric cancer,unknown,0,True,True,1
['Bimiralisib'],cancer NOS,unknown,0,True,True,1
"['Bintrafusp alfa', 'Azacytidine']",melanoma,unknown,0,True,True,1
"['Bintrafusp alfa', 'N-803', 'BN-Brachyury']",prostate cancer,unknown,0,True,True,1
['Brequinar/Brequinar + Ribavirin'],AML,unknown,0,True,True,1
['CABA-201'],cancer NOS,unknown,1,True,True,1
['CAR-GPC3 T Cells'],hepatocellular carcinoma,unknown,1,True,True,1
"['CAZ-AVI', 'Vancomycin', 'Linezolid', 'Cefepime', 'Meropenem', 'Piperacillin/tazobactam']",cancer NOS,unknown,0,True,True,1
"['CD8 reduced peripheral blood cells taken from related donors vaccinated against HPV16', 'Non-myeloablative allogeneic bone marrow transplant from related donors vaccinated against HPV16']",cancer NOS,unknown,1,True,True,1
"['CDA Inhibitor E7727/Decitabine Combination Agent ASTX727', 'IDH-1 Inhibitor FT-2102']",AML,unknown,0,True,True,1
"['CPI 613', 'Bendamustine']",lymphoma,unknown,0,True,True,1
['CR1447'],breast cancer,unknown,0,True,True,1
['CUDC-907'],thyroid cancer,unknown,0,True,True,1
"['CV-MG01', 'Placebo']",cancer NOS,unknown,1,True,True,1
"['CYT107', 'Placebo']",cancer NOS,unknown,0,True,True,1
"['Cabazitaxel', 'Prednisone']",prostate cancer,unknown,0,True,True,1
['Calaspargase pegol (S95015)'],cancer NOS,unknown,0,True,True,1
['Camrelizumab combination with Apatinib'],thyroid cancer,unknown,1,True,True,1
