dataset,label,entity,n_train,n_test,train_positive,test_positive,test_seen,test_unseen,test_unknown,unseen_positive,unseen_negative,seen_fraction_all_test,excluded_invalid_label,excluded_missing_year_with_valid_label
classification_matrix,label_strict,canonical_drug,472,166,92,31,139,16,11,5,11,0.8373493975903614,0,0
classification_matrix,label_strict,primary_target,472,166,92,31,152,3,11,2,1,0.9156626506024096,0,0
classification_matrix,label_strict,drug_disease_pair,472,166,92,31,73,82,11,18,64,0.4397590361445783,0,0
classification_matrix,label_balanced,canonical_drug,472,166,92,31,139,16,11,5,11,0.8373493975903614,0,0
classification_matrix,label_balanced,primary_target,472,166,92,31,152,3,11,2,1,0.9156626506024096,0,0
classification_matrix,label_balanced,drug_disease_pair,472,166,92,31,73,82,11,18,64,0.4397590361445783,0,0
classification_matrix,label_permissive,canonical_drug,472,166,92,31,139,16,11,5,11,0.8373493975903614,0,0
classification_matrix,label_permissive,primary_target,472,166,92,31,152,3,11,2,1,0.9156626506024096,0,0
classification_matrix,label_permissive,drug_disease_pair,472,166,92,31,73,82,11,18,64,0.4397590361445783,0,0
full_feature_matrix,label_strict,canonical_drug,611,419,187,94,137,76,206,14,62,0.3269689737470167,0,8
full_feature_matrix,label_strict,primary_target,611,419,187,94,197,16,206,3,13,0.4701670644391408,0,8
full_feature_matrix,label_strict,drug_disease_pair,611,419,187,94,59,154,206,28,126,0.14081145584725538,0,8
full_feature_matrix,label_balanced,canonical_drug,611,419,191,141,137,76,206,22,54,0.3269689737470167,0,8
full_feature_matrix,label_balanced,primary_target,611,419,191,141,197,16,206,5,11,0.4701670644391408,0,8
full_feature_matrix,label_balanced,drug_disease_pair,611,419,191,141,59,154,206,45,109,0.14081145584725538,0,8
full_feature_matrix,label_permissive,canonical_drug,611,419,191,141,137,76,206,22,54,0.3269689737470167,0,8
full_feature_matrix,label_permissive,primary_target,611,419,191,141,197,16,206,5,11,0.4701670644391408,0,8
full_feature_matrix,label_permissive,drug_disease_pair,611,419,191,141,59,154,206,45,109,0.14081145584725538,0,8
