dataset,label,value,provenance,n
classification_matrix,label_strict,0,completed+negative_text,3
classification_matrix,label_strict,0,completed+results+no_positive_signal,479
classification_matrix,label_strict,0,terminated+efficacy,23
classification_matrix,label_strict,0,terminated+negative_text,9
classification_matrix,label_strict,0,withdrawn+negative,1
classification_matrix,label_strict,1,completed+positive_text+approved,29
classification_matrix,label_strict,1,completed+positive_text+results,94
classification_matrix,label_balanced,0,completed+negative_text,3
classification_matrix,label_balanced,0,completed+results+no_positive_signal,479
classification_matrix,label_balanced,0,terminated+efficacy,23
classification_matrix,label_balanced,0,terminated+negative_text,9
classification_matrix,label_balanced,0,withdrawn+negative,1
classification_matrix,label_balanced,1,completed+positive_text+approved,29
classification_matrix,label_balanced,1,completed+positive_text+results,94
classification_matrix,label_permissive,0,completed+negative_text,3
classification_matrix,label_permissive,0,completed+results+no_positive_signal,479
classification_matrix,label_permissive,0,terminated+efficacy,23
classification_matrix,label_permissive,0,terminated+negative_text,9
classification_matrix,label_permissive,0,withdrawn+negative,1
classification_matrix,label_permissive,1,completed+positive_text+approved,29
classification_matrix,label_permissive,1,completed+positive_text+results,94
full_feature_matrix,label_strict,0,active+positive_text,51
full_feature_matrix,label_strict,0,completed+negative_text,25
full_feature_matrix,label_strict,0,terminated+negative_text,15
full_feature_matrix,label_strict,0,terminated+presumed_negative,506
full_feature_matrix,label_strict,0,withdrawn,160
full_feature_matrix,label_strict,1,completed+positive_text,228
full_feature_matrix,label_strict,1,terminated+positive_text,53
full_feature_matrix,label_balanced,0,completed+negative_text,25
full_feature_matrix,label_balanced,0,terminated+negative_text,15
full_feature_matrix,label_balanced,0,terminated+presumed_negative,506
full_feature_matrix,label_balanced,0,withdrawn,160
full_feature_matrix,label_balanced,1,active+positive_text,51
full_feature_matrix,label_balanced,1,completed+positive_text,228
full_feature_matrix,label_balanced,1,terminated+positive_text,53
full_feature_matrix,label_permissive,0,completed+negative_text,25
full_feature_matrix,label_permissive,0,terminated+negative_text,15
full_feature_matrix,label_permissive,0,terminated+presumed_negative,506
full_feature_matrix,label_permissive,0,withdrawn,160
full_feature_matrix,label_permissive,1,active+positive_text,51
full_feature_matrix,label_permissive,1,completed+positive_text,228
full_feature_matrix,label_permissive,1,terminated+positive_text,53
