nct_id,title,status,canonical_drug,primary_target,disease,start_year,trial_url,reviewer,primary_endpoint,endpoint_met_yes_no_unclear,effect_direction,evidence_url,evidence_date,notes
NCT00003270,Cord Blood Transplantation for Hematologic Malignancies and Bone Marrow Failure Syndromes,COMPLETED,cyclophosphamide,DNA,multiple myeloma,1997.0,https://clinicaltrials.gov/study/NCT00003270,,,,,,,
NCT00003631,High-Dose Chemo-Radiotherapy for Patients With Primary Refractory and Relapsed Hodgkin's Disease,COMPLETED,carboplatin,DNA,lymphoma,1998.0,https://clinicaltrials.gov/study/NCT00003631,,,,,,,
NCT00004092,"Randomized Phase II Study of Adriamycin/Cytoxan/Taxol (ACT) vs. Cytoxan, Thiotepa, Carboplatin (STAMP V) in Patients With High-Risk Primary Breast Cancer",COMPLETED,carboplatin,DNA,breast cancer,1999.0,https://clinicaltrials.gov/study/NCT00004092,,,,,,,
NCT00039195,Risk-Adapted Therapy for Patients With Untreated Age-Adjusted International Prognostic Index II or III Diffuse Large B Cell Lymphoma,COMPLETED,rituximab,MS4A1,lymphoma,2006.0,https://clinicaltrials.gov/study/NCT00039195,,,,,,,
NCT00045110,A Phase I/II Trial of OSI-774 in Patients With Recurrent Malignant Gliomas and Malignant Gliomas Post Radiation Therapy,COMPLETED,erlotinib,EGFR,glioblastoma,2002.0,https://clinicaltrials.gov/study/NCT00045110,,,,,,,
NCT00057837,"A Randomized Phase II Study: Sequencing Topoisomerase Inhibitors for Extensive Stage Small Cell Lung Cancer (SCLC): Topotecan Sequenced With Etoposide/Cisplatin, and Irinotecan/Cisplatin Sequenced With Etoposide",COMPLETED,cisplatin,DNA,cancer nos,2004.0,https://clinicaltrials.gov/study/NCT00057837,,,,,,,
NCT00066677,Phase II and Coagulation Study of rhuMAb-VEGF With or Without Docetaxel in Patients With Previously Treated Metastatic Pancreatic Adenocarcinoma,TERMINATED,docetaxel,TUBB,pancreatic cancer,2003.0,https://clinicaltrials.gov/study/NCT00066677,,,,,,,
NCT00081861,A Phase II Study of Avastin Plus Rituximab for Patients With Relapsed and Chemotherapy- or Rituxan-Refractory Aggressive B-Cell Non-Hodgkin's Lymphoma,COMPLETED,avastin,VEGFA,lymphoma,2004.0,https://clinicaltrials.gov/study/NCT00081861,,,,,,,
NCT00095680,"A 24-week, Open-label Extension Study of the Efficacy, Safety, and Tolerability of Oral SCIO-469 in Treatment of Relapsed Refractory Patients With Multiple Myeloma",COMPLETED,bortezomib,PSMB5,multiple myeloma,2004.0,https://clinicaltrials.gov/study/NCT00095680,,,,,,,
NCT00096018,A Phase I/II Study of Fludarabine Plus Thalidomide as Frontline Therapy for Newly Diagnosed Patients With Chronic Lymphocytic Leukemia,COMPLETED,thalidomide,CRBN,leukemia,2002.0,https://clinicaltrials.gov/study/NCT00096018,,,,,,,
NCT00112827,Tandem High-Dose Therapy With Melphalan and Total Marrow Irradiation (TMI) With Peripheral Blood Progenitor Cell Support and Lenalidomide Maintenance in Multiple Myeloma: A Phase I/II Trial,COMPLETED,lenalidomide,CRBN,multiple myeloma,2004.0,https://clinicaltrials.gov/study/NCT00112827,,,,,,,
NCT00117351,"A Multicenter, Open-Label, Phase 2 Study of VELCADE (Bortezomib) for Injection in Previously Treated Patients With Stage IIIB and IV Bronchioloalveolar Carcinoma and Adenocarcinoma With Bronchioloalveolar Features",TERMINATED,unmapped,UNKNOWN,cancer nos,2005.0,https://clinicaltrials.gov/study/NCT00117351,,,,,,,
NCT00125359,A Phase II Clinical Study of Erlotinib (Tarceva) and Bexarotene (Targretin) Oral Capsules in Patients With Advanced Non-small Cell Lung Cancer,COMPLETED,erlotinib,EGFR,cancer nos,2005.0,https://clinicaltrials.gov/study/NCT00125359,,,,,,,
NCT00134082,"Pilot Study of Rituximab, High Dose Cyclophosphamide, and GM-CSF Based Immunotherapy for Relapsed Hodgkin's Lymphoma",COMPLETED,rituximab,MS4A1,lymphoma,2005.0,https://clinicaltrials.gov/study/NCT00134082,,,,,,,
NCT00176605,A Phase II Trial of Metronomic Dosing of Etoposide and Cyclophosphamide in Patients With Stage D0 Prostate Cancer.,COMPLETED,etoposide,TOP2A,prostate cancer,2005.0,https://clinicaltrials.gov/study/NCT00176605,,,,,,,
NCT00201240,"A Phase 2 Single Arm Trial of HLA-Matched Transplants, CD34+ Enriched, T-Cell Depleted Peripheral Blood Stem Cells Isolated by CliniMACS System in the Treatment of Patients With AML in 1st or 2nd Morphologic Complete Remission (BMTCTN0303)",COMPLETED,unmapped,UNKNOWN,leukemia,2005.0,https://clinicaltrials.gov/study/NCT00201240,,,,,,,
NCT00234052,Phase II Trial of Carboplatin and Pemetrexed Plus Bevacizumab in Patients With Advanced Non-Squamous Non-Small Cell Lung Cancer,COMPLETED,bevacizumab,VEGFA,cancer nos,2005.0,https://clinicaltrials.gov/study/NCT00234052,,,,,,,
NCT00244985,A Phase I/II Pilot Study of the Safety and Efficacy of Rituxan (Chimeric Anti-CD20 Antibody) in Combination With Doxil (Liposomal Doxorubicin) Chemotherapy in Patients With Relapsing or Refractory Indolent or Aggressive B-Cell Lymphoma,COMPLETED,rituximab,MS4A1,lymphoma,2005.0,https://clinicaltrials.gov/study/NCT00244985,,,,,,,
NCT00253370,A Phase II Study to Evaluate Overall Response Rate of BAY 43-9006 (Sorafenib) Combined With Docetaxel and Cisplatin or Oxaliplatin in the Treatment of Metastatic or Advanced Unresectable Gastric and Gastroesophageal Junction (GEJ) Adenocarcinoma,COMPLETED,cisplatin,DNA,gastric cancer,2005.0,https://clinicaltrials.gov/study/NCT00253370,,,,,,,
NCT00271609,A Phase II Trial of Bevacizumab for Patients With Recurrent High-Grade Gliomas,COMPLETED,bevacizumab,VEGFA,cancer nos,2005.0,https://clinicaltrials.gov/study/NCT00271609,,,,,,,
NCT00313560,Phase II Study of Erlotinib (TarcevaTM) Combined With Chemoradiation and Adjuvant Chemotherapy in Patients With Resectable Pancreatic Cancer,COMPLETED,erlotinib,EGFR,pancreatic cancer,2006.0,https://clinicaltrials.gov/study/NCT00313560,,,,,,,
NCT00329641,Phase II Trial of BAY 43-9006 (Sorafenib; NSC-724772) in Combination With Carboplatin and Paclitaxel in Patients With Metastatic Uveal Melanoma,COMPLETED,sorafenib,BRAF,melanoma,2011.0,https://clinicaltrials.gov/study/NCT00329641,,,,,,,
NCT00346645,A Phase II Study of Velcade® (Bortezomib) in Patients Stage IIIB OR IV Non-Small Cell Lung Cancer (NSCLC) Who Have Not Received Prior Chemotherapy,TERMINATED,unmapped,UNKNOWN,nsclc,2006.0,https://clinicaltrials.gov/study/NCT00346645,,,,,,,
NCT00357149,Randomized Phase II Trial of Neoadjuvant Docetaxel Plus Cisplatin and 5-fluorouracil Followed by Concomitant Chemoradiotherapy and Chemoradiotherapy Alone in Patients With Locally Advanced Squamous Cell Carcinoma of the Head and Neck.,COMPLETED,cisplatin,DNA,hnscc,2003.0,https://clinicaltrials.gov/study/NCT00357149,,,,,,,
NCT00371254,Phase II Study of Dasatinib (BMS-354825) for Advanced 'Triple-negative' Breast Cancer,COMPLETED,dasatinib,ABL1,breast cancer,2006.0,https://clinicaltrials.gov/study/NCT00371254,,,,,,,
NCT00374868,"Phase 1/2 Study of Biweekly ALIMTA Plus Cisplatin in Patients With Locally, Advanced, Non-Resectable or Metastatic Urothelial Cancer",COMPLETED,cisplatin,DNA,cancer nos,2006.0,https://clinicaltrials.gov/study/NCT00374868,,,,,,,
NCT00387959,A Non-Myeloablative Conditioning Regimen With Peri-Transplant Rituximab and the Transplantation of Unrelated Donor Umbilical Cord Blood in Patients With B Cell Lymphoid Malignancies,COMPLETED,rituximab,MS4A1,leukemia,2006.0,https://clinicaltrials.gov/study/NCT00387959,,,,,,,
NCT00390611,A Randomized Phase II Study of Paclitaxel/Carboplatin With or Without Sorafenib in the First-Line Treatment of Patients With Stage III/IV Epithelial Ovarian Cancer,COMPLETED,sorafenib,BRAF,ovarian cancer,2006.0,https://clinicaltrials.gov/study/NCT00390611,,,,,,,
NCT00399529,"A Feasibility Study of Combination Therapy With Trastuzumab, Cyclophosphamide, and an Allogeneic GM-CSF-secreting Breast Tumor Vaccine for HER-2/Neu-Overexpressing Metastatic Breast Cancer.",COMPLETED,trastuzumab,ERBB2,breast cancer,2006.0,https://clinicaltrials.gov/study/NCT00399529,,,,,,,
NCT00400569,Phase II Open-Label Study of Sunitinib Malate (SU011248) in Adult Patients With Metastatic and/or Surgically Unresectable Soft Tissue Sarcoma,COMPLETED,sunitinib,VEGFR2,cancer nos,2006.0,https://clinicaltrials.gov/study/NCT00400569,,,,,,,
NCT00403403,"A Placebo-Controlled, Double-Blind, Multicenter, Randomized, Phase II Study of Bevacizumab in Previously Untreated Extensive-Stage Small Cell Lung Cancer",COMPLETED,bevacizumab,VEGFA,cancer nos,2007.0,https://clinicaltrials.gov/study/NCT00403403,,,,,,,
NCT00408070,"Phase 2 Study of Bevacizumab in Combination With Carboplatin and Paclitaxel in Patients With Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma",TERMINATED,bevacizumab,VEGFA,ovarian cancer,2006.0,https://clinicaltrials.gov/study/NCT00408070,,,,,,,
NCT00408603,"A Phase 2 Open-Label, Multicenter Study of SNS-595 Injection in Patients With Platinum-Resistant Ovarian Cancer",COMPLETED,unmapped,UNKNOWN,ovarian cancer,2006.0,https://clinicaltrials.gov/study/NCT00408603,,,,,,,
NCT00409565,A Phase II Trial of Cetuximab and Bevacizumab in Patients With Recurrent or Metastatic Head and Neck Cancer,COMPLETED,cetuximab,EGFR,hnscc,2006.0,https://clinicaltrials.gov/study/NCT00409565,,,,,,,
NCT00410813,Phase II Studies of Two Different Schedules of Dasatinib (NSC-732517) in Bone Metastasis Predominant Metastatic Breast Cancer,COMPLETED,dasatinib,ABL1,breast cancer,2007.0,https://clinicaltrials.gov/study/NCT00410813,,,,,,,
NCT00439517,"A Randomized, Open-label Phase II Study Evaluating the Efficacy and Safety of FOLFOX-4 Plus Cetuximab Versus UFOX Plus Cetuximab as First-line Therapy in Subjects With Metastatic Colorectal Cancer.",COMPLETED,cetuximab,EGFR,colorectal cancer,2007.0,https://clinicaltrials.gov/study/NCT00439517,,,,,,,
NCT00459108,A Phase II Trial of Dasatinib (BMS-354825) in Advanced Hepatocellular Carcinoma,TERMINATED,dasatinib,ABL1,hepatocellular carcinoma,2007.0,https://clinicaltrials.gov/study/NCT00459108,,,,,,,
NCT00467142,"Phase II Study Evaluating the Efficacy and Tolerance to Chemotherapy With 5-fluorouracil, Folinic Acid, Irinotecan and Bevacizumab as First-line Treatment in Patients With Metastatic Colorectal Cancer",COMPLETED,bevacizumab,VEGFA,colorectal cancer,2007.0,https://clinicaltrials.gov/study/NCT00467142,,,,,,,
NCT00468585,"A Multicenter, Phase I/II Study of Every Other Week Capecitabine Dosing With Bevacizumab for the Treatment of Metastatic Breast Cancer Based Upon the Norton-Simon Mathematical Model",COMPLETED,bevacizumab,VEGFA,breast cancer,2005.0,https://clinicaltrials.gov/study/NCT00468585,,,,,,,
NCT00483405,"Phase II Study of Oxaliplatin, Capecitabine, and Cetuximab in Advanced Hepatocellular Carcinoma",COMPLETED,cetuximab,EGFR,hepatocellular carcinoma,2006.0,https://clinicaltrials.gov/study/NCT00483405,,,,,,,
NCT00510653,"A Phase II Study of Gleevec in Patients With Recurrent Platinum-Resistant, Taxane-Resistant Epithelial Ovarian Cancer, Primary Peritoneal Cancer, or Fallopian Tube Cancer",COMPLETED,imatinib,ABL1,ovarian cancer,2002.0,https://clinicaltrials.gov/study/NCT00510653,,,,,,,
NCT00516841,"A Phase 2, Single-Arm Study of Volociximab Monotherapy in Subjects With Platinum-Resistant Advanced Epithelial Ovarian Cancer or Primary Peritoneal Cancer",TERMINATED,unmapped,UNKNOWN,ovarian cancer,2007.0,https://clinicaltrials.gov/study/NCT00516841,,,,,,,
