mode,outer_fold,stage,fold,role,nct_id
temporal,0,outer,0,train,NCT00108953
temporal,0,outer,0,train,NCT00111839
temporal,0,outer,0,train,NCT00176605
temporal,0,outer,0,train,NCT00611351
temporal,0,outer,0,train,NCT02006667
temporal,0,outer,0,train,NCT00301964
temporal,0,outer,0,train,NCT00399529
temporal,0,outer,0,train,NCT00335829
temporal,0,outer,0,train,NCT00494481
temporal,0,outer,0,train,NCT00126672
temporal,0,outer,0,train,NCT00216203
temporal,0,outer,0,train,NCT00361231
temporal,0,outer,0,train,NCT00287872
temporal,0,outer,0,train,NCT01135498
temporal,0,outer,0,train,NCT00089999
temporal,0,outer,0,train,NCT00071006
temporal,0,outer,0,train,NCT00103207
temporal,0,outer,0,train,NCT00305877
temporal,0,outer,0,train,NCT01996332
temporal,0,outer,0,train,NCT00166439
temporal,0,outer,0,train,NCT00390611
temporal,0,outer,0,train,NCT00409565
temporal,0,outer,0,train,NCT00004092
temporal,0,outer,0,train,NCT00586495
temporal,0,outer,0,train,NCT00039195
temporal,0,outer,0,train,NCT00515411
temporal,0,outer,0,train,NCT00271609
temporal,0,outer,0,train,NCT00371254
temporal,0,outer,0,train,NCT00085566
temporal,0,outer,0,train,NCT00119262
temporal,0,outer,0,train,NCT00672594
temporal,0,outer,0,train,NCT00182689
temporal,0,outer,0,train,NCT00313560
temporal,0,outer,0,train,NCT00360360
temporal,0,outer,0,train,NCT00161213
temporal,0,outer,0,train,NCT00137423
temporal,0,outer,0,train,NCT00345540
temporal,0,outer,0,train,NCT00387959
temporal,0,outer,0,train,NCT00267696
temporal,0,outer,0,train,NCT00774046
temporal,0,outer,0,train,NCT00185588
temporal,0,outer,0,train,NCT00859469
temporal,0,outer,0,train,NCT00271505
temporal,0,outer,0,train,NCT00004888
temporal,0,outer,0,train,NCT00216021
temporal,0,outer,0,train,NCT00269152
temporal,0,outer,0,train,NCT02280252
temporal,0,outer,0,train,NCT00562978
temporal,0,outer,0,train,NCT00444678
temporal,0,outer,0,train,NCT00368355
temporal,0,outer,0,train,NCT00118144
temporal,0,outer,0,train,NCT00238121
temporal,0,outer,0,train,NCT00579826
temporal,0,outer,0,train,NCT00499343
temporal,0,outer,0,train,NCT00438880
temporal,0,outer,0,train,NCT00039130
temporal,0,outer,0,train,NCT00117351
temporal,0,outer,0,train,NCT00309842
temporal,0,outer,0,train,NCT00057837
temporal,0,outer,0,train,NCT00427557
temporal,0,outer,0,train,NCT00323869
temporal,0,outer,0,train,NCT00890656
temporal,0,outer,0,train,NCT00066677
temporal,0,outer,0,train,NCT00398086
