mode,fold,sign,term,coefficient
temporal,0,negative,stage,-0.34197829637477206
temporal,0,negative,previously,-0.2563436585517077
temporal,0,negative,characteristics,-0.2538103564252186
temporal,0,negative,brain,-0.2512338226014408
temporal,0,negative,lymphoma,-0.24387739705515496
temporal,0,negative,iv,-0.2262290870244991
temporal,0,negative,weeks,-0.21916202191846432
temporal,0,negative,leukemia,-0.20950023296819367
temporal,0,negative,stage iv,-0.20734228731678456
temporal,0,negative,uln,-0.20352656317486953
temporal,0,negative,criteria histologically,-0.1995572683152657
temporal,0,negative,screening,-0.1957638239053569
temporal,0,negative,metastases,-0.18929040165127686
temporal,0,negative,age,-0.18822329803193952
temporal,0,negative,cancer stage,-0.18796551749665397
temporal,0,positive,nsclc prior,0.4303885572671243
temporal,0,positive,protocol therapy,0.37881679233394927
temporal,0,positive,renal dysfunction,0.3741018171364748
temporal,0,positive,agree,0.36375104639284617
temporal,0,positive,hepatic renal,0.3369335608484026
temporal,0,positive,advanced nsclc,0.32803176840998044
temporal,0,positive,participate,0.2999747375772296
temporal,0,positive,allowed exclusion,0.29956253480408535
temporal,0,positive,5x,0.2958131171185361
temporal,0,positive,radiotherapy allowed,0.2859528353519866
temporal,0,positive,day,0.27523928953936844
temporal,0,positive,ability,0.2732741136872956
temporal,0,positive,recurrent metastatic,0.26983608481896815
temporal,0,positive,neck,0.26569434212483944
temporal,0,positive,head,0.26569434212483944
temporal,1,negative,stage,-0.41466929375614847
temporal,1,negative,uln,-0.41246750046426417
temporal,1,negative,concurrent,-0.3710874786921125
temporal,1,negative,characteristics,-0.3704465178577956
temporal,1,negative,brain,-0.3567992069126249
temporal,1,negative,leukemia,-0.3212244212204495
temporal,1,negative,previously,-0.3150609754872846
temporal,1,negative,illness,-0.280019288072607
temporal,1,negative,criteria histologically,-0.2628417001965777
temporal,1,negative,stage iv,-0.26019643376205925
temporal,1,negative,toxicities,-0.2595783003719949
temporal,1,negative,disease characteristics,-0.24929878033064518
temporal,1,negative,µl,-0.24558145932551106
temporal,1,negative,dl total,-0.24463746576715487
temporal,1,negative,concurrent therapy,-0.2442448494210725
temporal,1,positive,protocol therapy,0.4955997680857171
temporal,1,positive,adequate bone,0.44788197203433844
temporal,1,positive,nsclc prior,0.44750857882966005
temporal,1,positive,5x,0.4265791849248793
temporal,1,positive,agree use,0.4157118582826983
temporal,1,positive,severe,0.41177007571196705
temporal,1,positive,agree,0.373933983702154
temporal,1,positive,mm3,0.3717014341269635
temporal,1,positive,day,0.36648072111536917
temporal,1,positive,scan,0.3664134734330376
temporal,1,positive,trastuzumab,0.36303097110860544
temporal,1,positive,chemotherapy radiotherapy,0.36227728452829766
temporal,1,positive,fish,0.3598646375564996
temporal,1,positive,participate,0.35709270565253853
temporal,1,positive,registration study,0.3547689179660135
temporal,2,negative,uln,-0.4848115360082221
temporal,2,negative,characteristics,-0.46126913646910805
temporal,2,negative,criteria histologically,-0.4333490887133556
temporal,2,negative,stage,-0.37927593379075003
temporal,2,negative,concurrent,-0.36321075094865723
temporal,2,negative,µl,-0.3624841079026432
temporal,2,negative,illness,-0.3416317917923568
temporal,2,negative,post,-0.3316499823255961
temporal,2,negative,leukemia,-0.3217051953994358
temporal,2,negative,folfox,-0.3189784249092142
